,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000,DLC_dlcrnetms5_DLC_2-2_4P_8F_Light_VentralMay10shuffle1_100000
,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8
,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,0.03318659324931784,0.1381825852554434,0.0783165366120163,-0.0020162264416071197,0.13558369317165953,0.08696226803994218,-0.03073564511069506,0.13425971560129882,0.11551729703450533,-0.04821871812073037,0.137019660765343,0.09497154374148095,-0.024941517530973137,0.1253096270644952,0.08786626913428916,-0.046043729366128466,0.11285677422677813,0.07626655335096413,-0.06284479969761173,0.09051838475641247,0.07257603745123811,-0.0598194457651926,0.07926142959495729,0.10775051683641042,0.028551842269013233,0.0975706889877227,0.006287866347825013,0.046309450918596146,0.07374322514749314,0.023459087967804274,0.05601701214661349,0.03993197559467206,0.026929192512583855,0.06269330569635526,0.026580066101036883,0.0544504211999063,0.06441798285410978,0.019597091290104094,0.0319121346536402,0.07266032609641579,-0.008937145532843778,0.0246199039030487,0.08403931218756326,-0.04172138024175699,0.011360204655976373,0.09279127737965229,-0.05191134322447253,0.03698603854901095,-0.13846290592563207,-0.00359132675327511,0.08580736334640475,-0.16545029887160134,0.024653263341108903,0.07287026473384416,-0.1950275888468097,0.056308017643633884,0.008500997500558938,-0.20825133425857978,0.06666603096295495,-0.04620712779914575,-0.13328670873499807,0.03222771591664218,0.014846565442088126,-0.1520299952476261,0.017719293520741624,0.01799483817719496,-0.17124806583648078,0.001508138752258276,-0.009397156529944061,-0.19028156568330948,-0.006593424866929375,-0.05832384023753411,-0.009966399480151635,0.04989530377552872,0.07660397997531519,-0.014102578998378931,0.01980128958020721,0.07500581010210325,-0.01555835872933205,-0.009016212259834538,0.0734746744103869,-0.019417072136083385,-0.020144731116883537,0.058459178076163326,,,,,,,,,,,,
1,0.03317861018801979,0.13805607171488635,0.07827184512098993,-0.0020145762513575816,0.13553693187845292,0.08697015935081685,-0.03128358926463373,0.13438101586207343,0.11419281570758547,-0.047910380822024555,0.13492699003247807,0.10176681642108062,-0.022273335945527988,0.12589308001719787,0.09440942043177619,-0.04387403555293886,0.10091013417805489,0.11791634341592072,-0.06423612033384572,0.10207734464314214,0.039442829888919166,-0.05989393872691851,0.07885489504148649,0.10685666844879871,0.026744236724175068,0.09732042415814139,0.0035007482710916232,0.04551756793140315,0.07366865897426135,0.02473163223661591,0.05535963637807221,0.04001188206536427,0.024673618779529817,0.06000226194183327,0.026797557225007623,0.04526107535018789,0.06390078918129437,0.019596029524630597,0.032156550800301574,0.0724429909761612,-0.008940078563900139,0.02428828408708199,0.08365531052790269,-0.04170604075577171,0.011729692930411172,0.0916983402153078,-0.05212562417439475,0.03274567333994414,-0.13843527677194725,-0.005119781182848195,0.08591779168246017,-0.16534973783701273,0.022145240274368955,0.07320952832564971,-0.19226544977400284,0.05452902855883441,0.023310182822140046,-0.20598878441830418,0.06474102801839576,-0.031004537669919903,-0.13328670873499807,0.03222771591664218,0.014846565442088126,-0.1520299952476261,0.017719293520741624,0.01799483817719496,-0.16993967226688111,0.00118366500365539,-0.0010461552296031206,-0.18929098973693068,-0.00665471481268211,-0.052470627245945284,-0.009946818980653029,0.049852322924846475,0.07757427828884493,-0.014178263042316615,0.019804615964856817,0.07481782842946823,-0.015749510031709987,-0.008923378286282856,0.0812961783527679,-0.01929229446597939,-0.02004890901935482,0.06282764348923532,,,,,,,,,,,,
2,0.0331761969513459,0.13802019021542167,0.07825839365525698,-0.002014214410547918,0.13541803986365655,0.08697229899979275,-0.033348393515963075,0.1349117245875826,0.1092114898066487,-0.04791662897595775,0.1348635466830077,0.101742070248374,-0.022144671529717455,0.12672597512950076,0.09319893310106357,-0.04685016869721966,0.11259503879116903,0.07452875772080171,-0.062372531037432774,0.08998822209348982,0.08263467108980894,-0.05920124506022185,0.0815622021637399,0.11519238755234183,0.023567345426720027,0.09804949903270073,-0.0057378052500822296,0.04500099357435802,0.0735401036364999,0.02680996224256535,0.05535963637807221,0.04001188206536427,0.024673618779529817,0.057800749054969375,0.026975483686929706,0.037743402031260476,0.06360876271167337,0.019553549805794674,0.035076288875626735,0.07126340482629381,-0.008936833420387738,0.024235465525933433,0.08332195256401444,-0.04171780501128027,0.011428187204130948,0.09040118388326937,-0.0523799379006933,0.027713105773750284,-0.1384334191119456,-0.006793972441957807,0.08593402411921199,-0.1654790495005598,0.0206468671586422,0.07278081984296027,-0.18986283492654857,0.051523309675599906,0.036241186971693304,-0.20258827790490802,0.06186114606104342,-0.0124934066188565,-0.13328670873499807,0.03222771591664218,0.014846565442088126,-0.1520299952476261,0.017719293520741624,0.01799483817719496,-0.16855983990387807,0.0012001271699578426,0.007655614196405589,-0.18791733229151303,-0.006699000490875697,-0.044251458550917326,-0.00993273774276305,0.049821413469807875,0.07827206326706035,-0.014218486065862183,0.019784565741128104,0.07612408135210738,-0.015914342795857867,-0.008927824068361852,0.0808674016696408,-0.019063051937335096,-0.01987286735816403,0.0708532655220518,,,,,,,,,,,,
3,0.033590833891564954,0.13803587253960858,0.07651578100881617,-0.0020350610409418154,0.13552530077667757,0.08517125792053179,-0.03221820090162588,0.13455592482668238,0.11074628411181835,-0.04796131332867731,0.13510944167218258,0.10106464893006746,-0.021477451114157844,0.1251439665146531,0.09342831098977353,-0.04698165815267309,0.11290810186720268,0.07400826250866187,-0.0627890751550882,0.09048564607762596,0.08160862648196807,-0.06018917174304055,0.08270089063670816,0.10182933853298605,0.020572565183733623,0.09828794437335464,-0.010137946809768922,0.04398551179531618,0.07512528543125113,0.026112041956366232,0.055455964528432135,0.04263268892922357,0.023990471658382733,0.055648231799948836,0.028672257318054784,0.030678973691677148,0.0632531536838759,0.022238191533791158,0.036740363587239276,0.07046921923021894,-0.007655370173658548,0.022559306408060975,0.08203134655235098,-0.03996553550996866,0.008818137034473171,0.08948524683526793,-0.05079485047263455,0.01626119055474012,-0.13675049774816678,-0.008964397779390542,0.08477247387365704,-0.15798126887451364,0.016041055784345826,0.08309586735076181,-0.18742660190856544,0.049318927395799586,0.04529248038354233,-0.19950106149272695,0.060323533113233005,0.003957721485069245,-0.13275210693206313,0.03294606943970997,0.011534231351893983,-0.14979849505207782,0.018988809294116567,0.019566993884978765,-0.1659183871318126,0.0021375848709025793,0.013747348103109873,-0.1792580599221694,-0.006417849970701735,-0.0217799809673774,-0.009361391702470708,0.05088895241139611,0.07985330780945998,-0.014176516110127544,0.020831006427052604,0.07481917317308544,-0.01577572862583206,-0.007399212387936692,0.08115459383474823,-0.017064718211242797,-0.018187100785295365,0.08050785755433953,,,,,,,,,,,,
4,0.035183475386392264,0.13739117288596017,0.07948527895573207,-0.0015863677819408636,0.13575788813495004,0.08234247660520184,-0.03253429849871592,0.13534272301603664,0.10363277623712597,-0.047984766246198525,0.1350174428011336,0.10097318446176916,-0.021732132280108254,0.12610562692061356,0.08526875531818459,-0.04760631805238503,0.11354880044175426,0.07136828131749397,-0.06326275972930336,0.09078733320223374,0.08050406546632745,-0.06062906221543688,0.08245184843179018,0.10290797258407586,0.017873479059412993,0.09943923878736181,-0.01543577047619768,0.043359005577437305,0.07602549189663572,0.026414915798967223,0.055888260564366306,0.044356398756976397,0.025062656982850276,0.05483997257658764,0.03307261715807362,0.02844329343295264,0.06322338674878826,0.023900559742273158,0.037058032291502424,0.07025453277946554,-0.005602641462046677,0.023476347129798007,0.08185859153255694,-0.03869734580611791,0.008078479263719608,0.08844924195779658,-0.04882000492998733,0.012150629093971424,-0.13624533056288893,-0.010227447643100743,0.08395890988117224,-0.15785167087638252,0.015397311461885485,0.08013282214966928,-0.18490759128155576,0.047820476426162266,0.054495152668056004,-0.1963251674649924,0.05822219542003057,0.02005803624882125,-0.13107146227312172,0.0337696726077178,0.01224407672610192,-0.14902630638906444,0.020977816019337774,0.017808507789758447,-0.16278562307628366,0.0028801538293162917,0.021791092168136177,-0.17250954192751095,-0.005737754401350717,-0.00842416670842303,-0.009405198542250514,0.05229824677173115,0.07897523468442955,-0.014193519426418161,0.022411376271921468,0.07469738579922794,-0.01579429683657683,-0.0068303733033646084,0.0797951638643487,-0.016038970253421485,-0.017103431221390568,0.08498848937111027,,,,,,,,,,,,
5,0.03602951925697334,0.1379733233216684,0.07532782643938958,-0.001626182422182425,0.13612257071051895,0.07885878544905724,-0.0326335515408846,0.13543323782893396,0.10160997984452354,-0.047156943103685636,0.13521834532895396,0.0963185346090708,-0.02150254120539468,0.12603912381988752,0.08530699085149555,-0.04708596693189739,0.11360388548937721,0.07171165831955542,-0.06348054363740656,0.09212331635641986,0.07900782438475792,-0.06107424157123133,0.0826920721846593,0.10189220672277904,0.015822715002467232,0.09991689501091375,-0.014562777815704838,0.0432053346612755,0.07764670867360711,0.028070189431478258,0.056759772813108345,0.04513431403455356,0.0282472327395536,0.05487946800637032,0.03548193314467797,0.027291778492360176,0.06299146188992141,0.02542419579597352,0.037175891305392936,0.06994558542761305,-0.00393851304280988,0.02407587514007681,0.08171795139504397,-0.03713841304765699,0.009830100061782336,0.08665918048270746,-0.047464298045608304,0.004876610104017807,-0.13437058096651636,-0.011558764389888822,0.08394063900733544,-0.15761607901129387,0.013027389164241574,0.08018557935793422,-0.18141718328737125,0.044883020493414715,0.06404456146370965,-0.19204711576961273,0.05486308012472767,0.037721826979696005,-0.1293413700325337,0.03472949922891765,0.012091146437815885,-0.14851580408602583,0.022062648321328985,0.013801486904049432,-0.16090220492229615,0.0049924480677216556,0.02548445551340512,-0.17192296639901192,-0.0025074110268085903,-0.0073562565134426446,-0.009397101424584003,0.05331726715554549,0.07897939639535416,-0.014090001316171627,0.023372524352798962,0.0741068618338052,-0.01598253093753378,-0.005142802203126081,0.07850473663984128,-0.015927702819700552,-0.015520633222904753,0.08620656569231246,,,,,,,,,,,,
6,0.03685625789412228,0.13796426375577012,0.07568185502902133,0.0012985950658005562,0.13503526301716381,0.08678682546278516,-0.032275021658337504,0.13591027200019618,0.09784999898457829,-0.04735000585457275,0.13614042528894107,0.09359314878044847,-0.021059879495668246,0.1253607409530209,0.08404841503604742,-0.04707697403728167,0.11445614264626323,0.07106790005026978,-0.06376043835343517,0.09245660854255017,0.07842370524691952,-0.06535049941969326,0.08385123048331543,0.09006787425629015,0.014210095778207988,0.10021591954975315,-0.01677502734845519,0.042741352920013916,0.0785175063503459,0.026982473439250833,0.058119363055854516,0.04597313070918343,0.03305226199879747,0.05579680206837474,0.03610279892075064,0.030119058030699444,0.06241454827693074,0.028400425710014894,0.03733200888587009,0.06964554491467682,-0.0023010048163064818,0.023844743619875125,0.08094376685875769,-0.034991681614640134,0.016674730316472913,0.0861337012524604,-0.046323183795000195,0.002961415122946318,-0.13300799358148843,-0.013896267892714313,0.08394074210924364,-0.15734157124343864,0.01262172420789242,0.07973488504180384,-0.17919584392883497,0.04425267274496581,0.07018424861872943,-0.19033911699971331,0.05365853309553126,0.04563514892137598,-0.12786099108201512,0.036177631638002535,0.011990906561795335,-0.1458265781321231,0.022964078891335178,0.017676110531027852,-0.16036833302948855,0.006702789251022812,0.02665645599923327,,,,-0.0094931387432355,0.05483931615466117,0.0787036798712779,-0.014020069527677065,0.024293769899969973,0.07357060737463789,-0.016442702529764534,-0.002832386695224455,0.07654785683436871,-0.015217774943616345,-0.012332356619103221,0.0884818242290744,,,,,,,,,,,,
