pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
492.666448,535.777298,453.557281,640.116616,774.813454,755.296362,690.183839,829.118835
490.591984,533.967400,453.250000,641.590000,775.510000,758.790000,689.910000,829.150000
491.990000,534.550000,451.970000,642.630000,774.990000,763.780000,689.940000,829.100000
492.750000,535.350000,449.930000,643.930000,773.870000,768.220000,681.680000,839.350000
493.570000,536.370000,446.980000,645.330000,772.750000,771.750000,678.420000,843.350000
493.407210,539.318780,443.490000,647.110000,770.980000,775.360000,673.870000,846.970000
488.802491,544.452200,438.350000,650.070000,768.990000,777.820000,669.960000,848.390000
482.918683,547.800083,433.020000,653.110000,767.030000,779.640000,665.860000,850.540000
479.081417,549.362428,427.120000,656.000000,764.490000,781.050000,661.270000,851.720000
474.732515,552.263926,420.740000,658.850000,761.190000,782.300000,656.260000,853.370000
467.569619,554.942232,414.080000,661.540000,757.710000,783.320000,650.570000,853.950000
461.685811,558.959691,407.040000,664.080000,753.470000,784.320000,644.410000,854.690000
455.248047,561.182945,400.300000,666.080000,748.630000,785.290000,637.930000,855.240000
448.899117,562.486292,394.120000,667.280000,743.040000,786.670000,631.610000,856.600000
442.550187,563.137965,387.650000,668.370000,736.770000,788.120000,624.800000,858.150000
434.707391,565.092985,380.630000,669.300000,730.520000,789.180000,618.010000,858.960000
426.864594,565.418821,374.050000,669.700000,723.750000,789.550000,611.110000,859.650000
419.768731,564.767148,367.550000,669.190000,716.640000,790.050000,603.810000,859.910000
413.046334,562.812128,361.370000,668.360000,709.250000,790.350000,596.860000,859.870000
406.697404,560.857108,355.000000,667.570000,701.790000,790.080000,589.690000,859.670000
400.348474,560.857108,348.810000,666.540000,694.340000,789.060000,582.870000,859.310000
393.290000,559.350000,342.780000,665.000000,687.420000,787.790000,575.570000,857.720000
387.050000,556.860000,337.090000,663.130000,681.090000,786.550000,569.330000,855.740000
381.650000,554.530000,331.850000,661.140000,675.660000,785.050000,563.250000,853.850000
376.700000,552.010000,327.280000,659.320000,670.670000,783.300000,558.520000,852.420000
372.980000,549.640000,323.560000,657.200000,666.840000,781.670000,553.800000,850.990000
370.600000,546.560000,320.730000,654.970000,664.180000,779.830000,551.230000,849.920000
369.210000,543.940000,318.650000,652.880000,662.610000,778.090000,548.810000,848.580000
368.790000,541.510000,317.170000,651.070000,662.440000,776.000000,547.240000,846.630000
369.250000,539.630000,316.670000,649.240000,663.500000,774.050000,546.970000,844.770000
371.010000,537.600000,317.190000,647.430000,665.550000,772.000000,547.520000,842.950000
373.990000,535.620000,318.330000,645.890000,668.550000,770.380000,548.550000,841.240000
377.700000,533.540000,320.120000,644.130000,672.200000,769.130000,550.650000,840.260000
382.210000,531.750000,322.520000,642.610000,676.690000,768.100000,553.260000,839.410000
387.350000,530.230000,325.310000,641.520000,681.600000,767.280000,556.740000,839.210000
393.010000,529.070000,328.530000,640.360000,687.840000,765.970000,560.410000,838.900000
399.310000,527.800000,332.310000,639.290000,693.940000,765.150000,564.080000,838.610000
405.890000,526.930000,336.220000,638.490000,699.980000,764.830000,568.120000,837.750000
412.400000,526.100000,340.140000,637.980000,706.580000,764.540000,572.440000,836.860000
418.980000,525.820000,344.110000,637.350000,713.410000,764.480000,577.060000,836.140000
425.610000,525.350000,348.110000,637.060000,719.920000,764.130000,581.570000,835.800000
431.960000,525.170000,352.050000,636.760000,726.380000,764.250000,585.990000,835.790000
438.280000,524.820000,355.950000,636.140000,733.000000,764.060000,590.250000,836.380000
444.570000,524.370000,359.710000,636.000000,739.250000,763.960000,594.820000,836.860000
449.900000,524.080000,362.930000,635.870000,744.830000,763.600000,598.810000,836.630000
454.820000,523.940000,365.680000,635.540000,750.220000,763.080000,602.570000,836.290000
459.330000,523.420000,368.380000,634.610000,755.460000,762.420000,605.880000,835.560000
463.750000,522.310000,370.850000,633.310000,759.830000,761.380000,608.350000,834.190000
468.060000,520.200000,373.000000,631.670000,763.970000,759.710000,611.320000,832.660000
471.730000,518.060000,373.960000,629.770000,767.930000,757.580000,613.830000,830.930000
474.650000,515.740000,375.530000,627.640000,771.950000,754.900000,615.710000,829.040000
477.350000,513.050000,376.580000,625.370000,774.320000,753.300000,617.650000,826.910000
478.640000,512.190000,377.520000,625.220000,776.650000,750.660000,619.620000,824.890000
479.850000,512.850000,378.660000,625.100000,779.000000,749.460000,620.310000,824.170000
481.240000,512.460000,379.380000,625.120000,779.850000,749.880000,620.840000,824.620000
481.330000,512.780000,379.280000,625.220000,780.180000,750.060000,620.970000,825.020000
481.260000,512.770000,378.990000,625.400000,780.000000,750.060000,620.990000,825.010000
481.060000,513.120000,378.950000,625.640000,779.980000,750.110000,620.990000,825.020000
481.080000,512.840000,378.980000,625.500000,779.850000,750.060000,620.980000,825.030000
481.240000,512.600000,379.140000,624.910000,779.740000,750.240000,620.800000,825.220000
481.400000,511.710000,379.240000,624.210000,778.970000,750.460000,620.580000,825.350000
481.380000,510.870000,379.290000,623.680000,777.790000,750.690000,619.950000,824.970000
480.390000,509.730000,379.330000,622.640000,776.600000,749.440000,619.390000,823.950000
479.180000,508.260000,379.790000,621.120000,775.140000,747.620000,619.410000,822.080000
478.020000,506.340000,380.630000,619.470000,773.880000,745.010000,619.800000,819.730000
477.100000,504.450000,381.870000,617.700000,772.890000,742.210000,620.970000,817.070000
