pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI
0.019499,0.004822,0.026185,0.016419,0.005106,0.025091
0.019868,0.004947,0.026237,0.016388,0.005322,0.024486
0.019062,0.004669,0.025324,0.016859,0.004824,0.024829
0.018362,0.004592,0.024725,0.016906,0.004629,0.025897
0.017771,0.004905,0.024723,0.016701,0.005060,0.024118
0.018165,0.004667,0.024835,0.016621,0.004804,0.025720
0.019518,0.004872,0.026016,0.018154,0.005271,0.028026
0.019833,0.005042,0.026843,0.017195,0.005091,0.025881
0.018964,0.004858,0.024230,0.017801,0.004920,0.025308
0.021228,0.004934,0.028639,0.017094,0.004705,0.026089
0.019546,0.004892,0.025554,0.017691,0.005028,0.027031
0.019914,0.004474,0.027425,0.017424,0.004885,0.026289
0.020275,0.004313,0.026612,0.017070,0.005146,0.026282
0.021568,0.004762,0.028048,0.017181,0.004375,0.026609
0.020466,0.005134,0.027504,0.016598,0.005041,0.025070
0.019136,0.004711,0.025960,0.017023,0.004633,0.025636
0.020787,0.004713,0.028104,0.017317,0.004942,0.026237
0.018618,0.004663,0.025822,0.017200,0.004991,0.026128
0.020165,0.004941,0.026905,0.018032,0.004945,0.028029
0.019738,0.005231,0.026793,0.017508,0.004820,0.026360
0.017879,0.004990,0.025336,0.017048,0.005342,0.027476
0.019479,0.005017,0.026930,0.016151,0.005166,0.025204
0.020169,0.004986,0.028174,0.016515,0.005191,0.025980
0.019408,0.004726,0.026857,0.016699,0.004817,0.027649
0.018967,0.004876,0.025812,0.017094,0.005463,0.026992
0.018150,0.004858,0.025198,0.017590,0.005226,0.028616
0.020270,0.004923,0.028562,0.017822,0.004970,0.026634
0.022793,0.004693,0.031490,0.018200,0.005124,0.029260
0.018160,0.004741,0.025815,0.018655,0.004729,0.030107
0.021124,0.005394,0.030302,0.017689,0.004984,0.027616
0.021414,0.004978,0.030591,0.016634,0.004857,0.027075
0.020618,0.005445,0.029055,0.018377,0.004806,0.030008
0.020207,0.005226,0.027950,0.017882,0.005302,0.028000
0.021162,0.005136,0.030325,0.017633,0.004947,0.028873
0.020769,0.004874,0.029530,0.019209,0.004903,0.030089
0.019731,0.004598,0.028907,0.019080,0.005318,0.030829
0.019257,0.004694,0.027092,0.018590,0.005813,0.030297
0.020930,0.004864,0.030708,0.017081,0.005802,0.028602
0.020646,0.004906,0.029945,0.018249,0.005295,0.029843
0.020784,0.005293,0.031856,0.017837,0.005402,0.030293
0.020625,0.004906,0.031236,0.018569,0.005229,0.031033
0.019291,0.005422,0.029384,0.016726,0.005591,0.027841
0.022083,0.004950,0.032144,0.017587,0.005394,0.030270
0.018677,0.005469,0.027629,0.017676,0.005585,0.030542
0.020842,0.005080,0.031804,0.017821,0.005499,0.031026
0.020183,0.005156,0.030298,0.018185,0.005735,0.031900
0.020606,0.004940,0.031262,0.016873,0.005566,0.030169
0.021657,0.004709,0.033836,0.017863,0.005324,0.031255
0.020275,0.004882,0.031433,0.018503,0.005229,0.031773
0.019546,0.005321,0.030036,0.017018,0.005371,0.029883
