pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z
2.141126,-0.055226,1.374995,1.400258,-0.681374,1.081762
2.141369,-0.037060,1.369023,1.398411,-0.661412,1.078799
2.141689,-0.019176,1.361516,1.396898,-0.641933,1.073868
2.142085,-0.001583,1.352474,1.395718,-0.622948,1.066970
2.142554,0.015691,1.341901,1.394867,-0.604490,1.058111
2.143091,0.032587,1.329804,1.394337,-0.586618,1.047299
2.143687,0.049013,1.316195,1.394110,-0.569426,1.034554
2.144329,0.064834,1.301093,1.394163,-0.553043,1.019905
2.145004,0.079875,1.284525,1.394462,-0.537626,1.003391
2.145692,0.093929,1.266529,1.394971,-0.523356,0.985065
2.146377,0.106765,1.247151,1.395644,-0.510420,0.964993
2.147040,0.118148,1.226448,1.396438,-0.499000,0.943252
2.147665,0.127851,1.204484,1.397307,-0.489258,0.919928
2.148238,0.135677,1.181332,1.398206,-0.481327,0.895118
2.148744,0.141472,1.157071,1.399096,-0.475296,0.868925
2.149172,0.145142,1.131784,1.399938,-0.471211,0.841456
2.149507,0.146657,1.105556,1.400701,-0.469064,0.812821
2.149732,0.146055,1.078473,1.401353,-0.468801,0.783128
2.149824,0.143440,1.050621,1.401866,-0.470320,0.752483
2.149754,0.138973,1.022080,1.402207,-0.473477,0.720989
2.149483,0.132859,0.992926,1.402339,-0.478095,0.688739
2.148965,0.125332,0.963229,1.402217,-0.483975,0.655820
2.148144,0.116637,0.933051,1.401786,-0.490898,0.622312
2.146955,0.107015,0.902445,1.400979,-0.498644,0.588283
2.145322,0.096695,0.871458,1.399715,-0.506994,0.553794
2.143164,0.085886,0.840129,1.397900,-0.515739,0.518897
2.140386,0.074774,0.808490,1.395431,-0.524690,0.483638
2.136895,0.063526,0.776571,1.392198,-0.533674,0.448058
2.132592,0.052292,0.744397,1.388084,-0.542537,0.412195
2.127380,0.041206,0.711995,1.382979,-0.551139,0.376086
2.121172,0.030391,0.679393,1.376779,-0.559351,0.339772
2.113887,0.019960,0.646622,1.369393,-0.567054,0.303292
2.105463,0.010027,0.613720,1.360756,-0.574130,0.266693
2.095857,0.000700,0.580731,1.350822,-0.580466,0.230028
2.085046,-0.007909,0.547708,1.339579,-0.585950,0.193355
2.073036,-0.015687,0.514712,1.327045,-0.590473,0.156742
2.059864,-0.022521,0.481814,1.313271,-0.593926,0.120267
2.045592,-0.028301,0.449094,1.298339,-0.596210,0.084017
2.030317,-0.032920,0.416640,1.282364,-0.597230,0.048090
2.014163,-0.036275,0.384548,1.265487,-0.596909,0.012594
1.997277,-0.038269,0.352919,1.247872,-0.595182,-0.022357
1.979828,-0.038815,0.321859,1.229701,-0.592005,-0.056639
1.961996,-0.037841,0.291477,1.211169,-0.587361,-0.090127
1.943968,-0.035300,0.261884,1.192473,-0.581258,-0.122693
1.925930,-0.031173,0.233187,1.173807,-0.573733,-0.154211
1.908055,-0.025480,0.205491,1.155354,-0.564855,-0.184560
1.890500,-0.018281,0.178897,1.137279,-0.554720,-0.213628
1.873399,-0.009671,0.153497,1.119719,-0.543451,-0.241313
1.856856,0.000218,0.129376,1.102779,-0.531192,-0.267525
1.840941,0.011223,0.106609,1.086524,-0.518104,-0.292185
1.825687,0.023163,0.085262,1.070979,-0.504355,-0.315228
1.811089,0.035843,0.065389,1.056125,-0.490115,-0.336602
1.797103,0.049065,0.047040,1.041904,-0.475555,-0.356267
1.783652,0.062631,0.030251,1.028223,-0.460837,-0.374195
1.770622,0.076346,0.015056,1.014959,-0.446120,-0.390368
1.757876,0.090023,0.001480,1.001968,-0.431551,-0.404779
1.745252,0.103477,-0.010454,0.989088,-0.417278,-0.417424
1.732576,0.116527,-0.020727,0.976142,-0.403444,-0.428302
1.719664,0.128999,-0.029320,0.962948,-0.390198,-0.437411
1.706333,0.140722,-0.036215,0.949316,-0.377688,-0.444742
1.692406,0.151536,-0.041394,0.935061,-0.366065,-0.450277
1.677720,0.161295,-0.044835,0.920010,-0.355471,-0.453995
1.662132,0.169875,-0.046518,0.904011,-0.346034,-0.455865
1.645528,0.177181,-0.046423,0.886941,-0.337857,-0.455854
1.627826,0.183151,-0.044531,0.868717,-0.331019,-0.453928
1.608980,0.187770,-0.040825,0.849301,-0.325566,-0.450055
1.588988,0.191066,-0.035296,0.828700,-0.321512,-0.444208
1.567884,0.193111,-0.027941,0.806964,-0.318839,-0.436369
1.545744,0.194013,-0.018768,0.784183,-0.317495,-0.426527
1.522675,0.193908,-0.007794,0.760480,-0.317402,-0.414687
1.498810,0.192946,0.004948,0.736000,-0.318455,-0.400868
1.474295,0.191287,0.019415,0.710905,-0.320527,-0.385105
1.449286,0.189086,0.035546,0.685355,-0.323479,-0.367451
1.423928,0.186491,0.053269,0.659509,-0.327159,-0.347978
1.398356,0.183645,0.072499,0.633508,-0.331410,-0.326778
1.372684,0.180678,0.093135,0.607472,-0.336071,-0.303960
1.346999,0.177718,0.115069,0.581497,-0.340984,-0.279650
1.321363,0.174886,0.138181,0.555649,-0.345992,-0.253988
1.295812,0.172298,0.162343,0.529966,-0.350945,-0.227126
1.270357,0.170062,0.187423,0.504459,-0.355701,-0.199223
1.244990,0.168278,0.213284,0.479113,-0.360128,-0.170444
1.219690,0.167028,0.239792,0.453892,-0.364102,-0.140951
1.194428,0.166378,0.266811,0.428747,-0.367513,-0.110902
1.169175,0.166375,0.294213,0.403621,-0.370264,-0.080449
1.143908,0.167047,0.321874,0.378461,-0.372275,-0.049733
1.118618,0.168404,0.349676,0.353221,-0.373486,-0.018884
1.093315,0.170445,0.377514,0.327879,-0.373856,0.011978
1.068029,0.173158,0.405289,0.302435,-0.373358,0.042749
