pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z
2.143697,-0.050696,1.360977,1.402118,-0.673715,1.068793
2.144050,-0.034968,1.357692,1.404613,-0.659709,1.061845
2.140946,-0.019288,1.356430,1.398961,-0.643061,1.065101
2.141619,-0.002904,1.348856,1.394028,-0.625809,1.067213
2.139089,0.013324,1.344163,1.389535,-0.608929,1.066575
2.140480,0.029464,1.334617,1.389210,-0.590876,1.057294
2.141814,0.045486,1.324156,1.390277,-0.573435,1.045790
2.143611,0.061637,1.311369,1.391463,-0.556053,1.031239
2.144395,0.077543,1.296647,1.394205,-0.539117,1.012331
2.147074,0.092468,1.277488,1.395337,-0.522702,0.993069
2.149121,0.106313,1.256272,1.396271,-0.508747,0.973019
2.149804,0.119204,1.233994,1.398370,-0.497122,0.949632
2.151821,0.130031,1.208639,1.399281,-0.486567,0.925357
2.151934,0.138283,1.182830,1.401870,-0.478794,0.896464
2.150208,0.144938,1.157960,1.403673,-0.472598,0.866728
2.148799,0.148565,1.132517,1.403832,-0.468910,0.838120
2.147233,0.149845,1.106051,1.402627,-0.466886,0.810016
2.147424,0.149087,1.075517,1.402763,-0.467310,0.779046
2.147961,0.145402,1.044190,1.401921,-0.469429,0.746792
2.149076,0.139392,1.011975,1.400295,-0.473015,0.714665
2.149260,0.131459,0.980623,1.398793,-0.477561,0.681300
2.146870,0.122625,0.953342,1.398721,-0.484378,0.645124
2.145856,0.113531,0.922114,1.397353,-0.492025,0.612044
2.143099,0.104370,0.892860,1.396199,-0.501068,0.579209
2.140213,0.094933,0.863993,1.394515,-0.509810,0.547071
2.140348,0.085409,0.831745,1.392648,-0.518497,0.515368
2.137537,0.074394,0.804796,1.389268,-0.526211,0.486763
2.134670,0.063225,0.777479,1.390113,-0.534500,0.449327
2.132483,0.052140,0.746572,1.388719,-0.542471,0.413560
2.126809,0.040985,0.718265,1.384866,-0.550614,0.378060
2.122499,0.030821,0.685529,1.378983,-0.558299,0.343174
2.115532,0.020935,0.654389,1.374020,-0.566100,0.305377
2.107267,0.011307,0.623166,1.367805,-0.573467,0.267142
2.099715,0.001658,0.589708,1.357219,-0.579459,0.233486
2.091351,-0.007314,0.555573,1.344766,-0.584918,0.201458
2.079666,-0.016203,0.524411,1.331802,-0.589741,0.166950
2.066841,-0.023318,0.492344,1.319705,-0.593537,0.129364
2.054542,-0.027827,0.455392,1.302999,-0.596010,0.097077
2.038022,-0.031293,0.422203,1.287075,-0.597077,0.059793
2.019291,-0.034318,0.390067,1.270191,-0.597301,0.021856
2.003082,-0.037149,0.354381,1.251900,-0.595663,-0.015967
