pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
233.153563,472.064356,214.867221,517.975800,471.240576,654.758867,455.513461,724.498627
233.560000,467.870000,215.613339,512.582755,471.400000,651.000000,456.471991,719.464037
234.600000,463.090000,216.709718,507.682766,472.580000,646.060000,457.249698,714.264869
235.520000,458.330000,218.370000,502.410000,473.700000,640.900000,458.100000,708.860000
236.890000,453.420000,220.120000,497.340000,475.020000,635.560000,459.430000,703.740000
237.890000,448.670000,222.060000,492.230000,476.220000,630.080000,461.600000,697.840000
239.030000,443.880000,224.220000,487.240000,477.300000,624.980000,463.900000,691.930000
240.370000,439.060000,226.800000,482.240000,478.700000,619.850000,466.820000,686.040000
242.250000,434.400000,230.050000,477.290000,480.180000,614.890000,470.280000,680.190000
244.240000,430.270000,233.850000,472.530000,482.130000,609.990000,474.200000,674.630000
246.670000,426.260000,238.250000,468.320000,484.210000,605.490000,478.310000,670.140000
249.600000,422.570000,243.190000,464.420000,486.350000,601.830000,482.820000,666.230000
252.590000,419.820000,248.480000,460.970000,488.900000,598.470000,487.790000,662.700000
256.120000,417.460000,254.290000,458.650000,491.510000,595.940000,493.290000,659.980000
259.990000,415.600000,260.290000,456.810000,494.410000,593.920000,499.130000,657.740000
263.830000,414.600000,266.310000,455.960000,497.600000,592.430000,505.100000,656.510000
267.830000,414.390000,272.560000,455.780000,501.080000,591.570000,511.270000,655.720000
271.890000,414.750000,279.270000,456.310000,504.500000,591.300000,517.670000,655.750000
275.940000,416.070000,286.030000,457.670000,508.300000,591.530000,524.540000,656.300000
279.930000,418.090000,292.810000,459.730000,512.270000,592.240000,531.540000,657.270000
284.020000,420.560000,299.580000,462.440000,516.320000,593.330000,538.730000,658.430000
288.220000,423.200000,306.030000,465.430000,520.270000,594.950000,546.100000,660.330000
292.560000,426.070000,312.990000,468.400000,524.200000,596.880000,553.120000,662.470000
297.070000,428.890000,319.900000,471.400000,528.020000,599.020000,560.000000,665.180000
301.540000,431.800000,326.730000,474.450000,531.880000,600.930000,566.840000,667.910000
305.640000,434.740000,333.560000,477.530000,535.720000,602.850000,573.610000,670.590000
309.790000,437.770000,339.910000,481.260000,539.610000,604.760000,580.110000,672.800000
313.980000,440.790000,346.330000,485.060000,543.310000,606.880000,587.310000,674.940000
318.430000,443.860000,353.330000,488.780000,547.390000,608.880000,594.690000,677.040000
323.420000,446.850000,360.560000,492.560000,552.050000,610.950000,602.580000,679.190000
328.600000,449.940000,368.380000,495.740000,557.140000,612.840000,610.810000,681.260000
334.230000,452.920000,376.450000,498.830000,562.260000,614.770000,619.350000,683.280000
340.170000,455.780000,384.810000,501.860000,567.710000,616.480000,628.240000,685.240000
346.170000,458.630000,393.440000,504.900000,573.780000,617.580000,637.270000,687.090000
352.420000,461.090000,402.370000,507.880000,580.130000,618.460000,646.410000,688.880000
359.120000,463.670000,411.420000,510.690000,586.820000,619.010000,656.120000,690.560000
366.180000,465.580000,420.900000,513.100000,593.560000,619.720000,666.180000,691.490000
373.660000,467.110000,431.230000,514.460000,600.910000,619.800000,676.320000,692.390000
381.710000,468.130000,441.740000,515.670000,608.510000,619.780000,687.190000,692.530000
390.150000,468.970000,452.520000,516.790000,616.370000,619.540000,698.380000,692.410000
398.330000,469.910000,463.400000,517.730000,624.530000,618.930000,709.860000,691.640000
407.040000,470.560000,474.300000,518.530000,633.100000,617.840000,721.490000,690.640000
415.800000,470.630000,485.280000,518.600000,641.510000,616.470000,733.160000,689.450000
424.400000,470.170000,496.220000,518.260000,649.870000,614.710000,744.920000,687.420000
432.760000,469.230000,507.080000,517.130000,657.940000,612.710000,756.620000,684.660000
440.850000,467.810000,517.750000,515.390000,665.730000,610.420000,767.590000,681.710000
448.670000,466.090000,527.660000,513.350000,673.740000,607.300000,777.820000,678.640000
456.040000,463.710000,536.970000,510.600000,681.270000,603.620000,787.080000,675.480000
462.960000,460.860000,545.550000,507.610000,687.990000,599.770000,796.010000,671.510000
469.250000,457.820000,553.490000,504.250000,693.830000,596.090000,804.110000,667.460000
475.150000,454.480000,561.050000,500.420000,699.050000,592.630000,811.680000,662.810000
480.610000,450.970000,567.790000,496.580000,704.050000,589.260000,818.780000,658.040000
485.480000,447.830000,573.910000,492.780000,708.870000,585.830000,825.670000,653.140000
489.860000,444.680000,579.480000,488.960000,713.000000,582.140000,832.470000,648.110000
494.000000,441.470000,584.630000,485.030000,716.770000,578.840000,838.500000,643.120000
498.000000,437.960000,589.470000,481.180000,721.090000,574.700000,840.729793,641.143277
501.790000,434.770000,593.810000,477.310000,725.010000,570.680000,844.610000,638.350000
505.590000,431.310000,598.050000,473.410000,728.830000,567.050000,848.900000,634.520000
509.060000,427.890000,602.120000,470.100000,732.700000,563.260000,853.380000,630.550000
512.940000,424.320000,606.070000,466.920000,736.500000,559.610000,857.960000,626.460000
516.510000,421.310000,610.020000,463.810000,739.850000,556.750000,862.740000,621.800000
520.010000,418.520000,614.010000,460.720000,742.970000,554.200000,867.150000,617.500000
523.970000,416.060000,618.040000,457.820000,746.550000,552.070000,871.780000,614.760000
527.930000,414.050000,622.110000,455.110000,750.440000,550.000000,875.880000,612.700000
532.080000,412.280000,626.270000,452.740000,754.900000,548.100000,880.000000,610.970000
536.230000,411.180000,630.390000,451.690000,759.710000,546.540000,884.350000,609.780000
540.840000,410.630000,634.960000,450.940000,764.870000,545.310000,889.370000,608.610000
545.940000,410.400000,639.190000,450.750000,770.560000,544.690000,894.400000,608.100000
551.530000,410.160000,643.610000,450.670000,776.310000,544.390000,899.440000,608.110000
557.290000,410.150000,648.170000,451.200000,782.290000,544.610000,904.390000,608.540000
563.040000,410.240000,652.680000,451.900000,788.070000,545.200000,909.120000,609.310000
568.730000,410.320000,656.450000,452.690000,793.890000,545.990000,913.770000,610.160000
573.880000,410.560000,659.770000,452.880000,799.640000,546.830000,917.640000,611.220000
578.880000,411.120000,662.840000,453.060000,804.810000,548.070000,921.300000,612.300000
583.600000,411.740000,665.630000,453.210000,809.800000,549.390000,924.320000,613.560000
587.840000,412.130000,667.680000,453.570000,814.270000,551.020000,926.350000,615.470000
591.670000,412.910000,669.150000,454.470000,818.420000,552.660000,928.070000,617.300000
595.350000,413.660000,670.250000,455.280000,822.680000,553.920000,929.280000,619.190000
598.860000,413.820000,670.760000,456.090000,826.820000,555.060000,930.270000,621.070000
602.040000,414.070000,670.980000,456.970000,830.800000,556.040000,930.780000,622.990000
605.110000,414.390000,671.090000,457.810000,834.630000,556.950000,931.060000,624.870000
608.210000,414.930000,671.320000,458.400000,838.050000,558.320000,931.370000,626.810000
611.630000,414.770000,672.210000,457.990000,841.720000,559.890000,932.060000,628.610000
615.330000,414.200000,673.020000,457.400000,845.090000,561.110000,932.880000,629.610000
618.920000,413.770000,673.670000,456.840000,848.910000,561.920000,933.750000,630.340000
622.450000,413.120000,673.920000,456.140000,852.800000,562.340000,934.770000,630.520000
625.820000,412.690000,674.400000,455.230000,856.890000,562.600000,935.880000,630.680000
629.380000,411.790000,675.410000,454.120000,861.200000,562.800000,937.010000,630.810000
633.540000,410.510000,676.390000,453.030000,865.730000,562.780000,938.170000,630.830000
638.090000,408.910000,677.430000,451.840000,870.510000,562.470000,939.400000,630.780000
642.760000,406.990000,678.580000,450.560000,875.490000,561.760000,941.110000,630.510000
646.990000,405.220000,680.270000,448.630000,880.260000,560.860000,943.030000,629.490000
651.150000,403.420000,682.030000,446.540000,885.380000,559.830000,945.040000,628.460000
