pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
896.67816,476.6322,896.7113,552.66516,820.6616,638.4473,883.5793,753.98334
820.6616,638.4473,883.5793,753.98334,578.516,660.0452,550.0577,796.30725
578.516,660.0452,550.0577,796.30725,663.82184,501.31644,580.87085,592.02124
663.82184,501.31644,580.87085,592.02124,896.67816,476.6322,896.7113,552.66516
896.9576,476.5927,896.61865,552.6711,820.51575,638.442,883.5547,753.98975
820.51575,638.442,883.5547,753.98975,578.8184,660.0667,550.37744,796.2661
578.8184,660.0667,550.37744,796.2661,664.0853,501.2079,580.96533,591.92395
664.0853,501.2079,580.96533,591.92395,896.9576,476.5927,896.61865,552.6711
896.9073,476.68915,896.8269,552.69934,820.8598,638.45685,883.8061,753.97534
820.8598,638.45685,883.8061,753.97534,578.7366,660.04553,550.4457,796.3544
578.7366,660.04553,550.4457,796.3544,664.0742,501.2105,581.0769,591.9771
664.0742,501.2105,581.0769,591.9771,896.9073,476.68915,896.8269,552.69934
896.98413,476.66382,896.9788,552.68463,820.9725,638.4869,883.9414,753.9749
820.9725,638.4869,883.9414,753.9749,578.8426,660.03217,550.61707,796.33307
578.8426,660.03217,550.61707,796.33307,664.18634,501.28183,581.2964,592.1503
664.18634,501.28183,581.2964,592.1503,896.98413,476.66382,896.9788,552.68463
897.11273,476.65182,897.121,552.58655,821.0444,638.514,884.0589,754.0006
821.0444,638.514,884.0589,754.0006,578.9947,660.0259,550.7483,796.3635
578.9947,660.0259,550.7483,796.3635,664.29425,501.37695,581.3729,592.249
664.29425,501.37695,581.3729,592.249,897.11273,476.65182,897.121,552.58655
897.2784,476.73285,897.23535,552.7642,821.15643,638.5006,884.2776,753.9727
821.15643,638.5006,884.2776,753.9727,578.93854,660.01025,550.968,796.37366
578.93854,660.01025,550.968,796.37366,664.60175,501.3146,581.47736,592.1322
664.60175,501.3146,581.47736,592.1322,897.2784,476.73285,897.23535,552.7642
897.17926,476.74167,897.45087,552.7676,821.2237,638.5196,884.31165,754.00146
821.2237,638.5196,884.31165,754.00146,579.193,660.05273,551.02246,796.52527
579.193,660.05273,551.02246,796.52527,664.615,501.30618,581.88776,592.23566
664.615,501.30618,581.88776,592.23566,897.17926,476.74167,897.45087,552.7676
897.24365,476.8214,897.6038,552.76526,821.3387,638.5505,884.41046,754.0063
821.3387,638.5505,884.41046,754.0063,579.2859,660.14185,551.1412,796.59265
579.2859,660.14185,551.1412,796.59265,664.73956,501.42517,582.10815,592.25226
664.73956,501.42517,582.10815,592.25226,897.24365,476.8214,897.6038,552.76526
897.33124,476.83118,897.7781,552.78186,821.3983,638.4864,884.5616,754.0068
821.3983,638.4864,884.5616,754.0068,579.40765,660.20807,551.2769,796.6447
579.40765,660.20807,551.2769,796.6447,664.911,501.4281,582.2447,592.394
664.911,501.4281,582.2447,592.394,897.33124,476.83118,897.7781,552.78186
897.42786,476.86945,897.87274,552.8488,821.604,638.555,884.765,753.94763
821.604,638.555,884.765,753.94763,579.39996,660.25684,551.44037,796.56885
579.39996,660.25684,551.44037,796.56885,664.9791,501.48862,582.3048,592.3528
664.9791,501.48862,582.3048,592.3528,897.42786,476.86945,897.87274,552.8488
897.62836,476.8627,897.9582,552.90594,821.72845,638.62726,884.90234,753.922
821.72845,638.62726,884.90234,753.922,579.3824,660.3108,551.6015,796.4886
579.3824,660.3108,551.6015,796.4886,665.01227,501.55615,582.4325,592.375
665.01227,501.55615,582.4325,592.375,897.62836,476.8627,897.9582,552.90594
897.7187,476.94983,898.0625,552.8852,821.8441,638.64014,885.13055,754.0994
821.8441,638.64014,885.13055,754.0994,579.512,660.31366,551.7881,796.42316
579.512,660.31366,551.7881,796.42316,665.1228,501.56674,582.63934,592.42084
665.1228,501.56674,582.63934,592.42084,897.7187,476.94983,898.0625,552.8852
897.7893,476.94852,898.2569,552.8862,821.91077,638.6442,885.1197,754.0972
821.91077,638.6442,885.1197,754.0972,579.6416,660.33295,551.9665,796.672
579.6416,660.33295,551.9665,796.672,665.51843,501.49335,582.6357,592.4332
665.51843,501.49335,582.6357,592.4332,897.7893,476.94852,898.2569,552.8862
897.87415,476.97906,898.3951,552.89575,821.9666,638.61334,885.18787,754.10785
821.9666,638.61334,885.18787,754.10785,579.78784,660.3258,552.1073,796.6379
579.78784,660.3258,552.1073,796.6379,665.64,501.4958,582.87463,592.4687
