pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
813.19025,676.3454,896.1905,785.47363,586.7965,515.4412,615.6101,595.77496
586.7965,515.4412,615.6101,595.77496,690.9459,396.4492,659.45215,443.85922
904.9472,547.9195,922.3873,625.24146,813.14716,676.34576,896.26666,785.38025
813.14716,676.34576,896.26666,785.38025,586.8168,515.5078,615.5848,595.81354
904.95984,547.8313,922.3416,625.19617,813.38696,676.34155,896.59674,785.41345
813.38696,676.34155,896.59674,785.41345,586.81366,515.5069,615.771,595.6688
813.4439,676.28253,896.70013,785.2977,586.96497,515.57404,615.8318,595.50995
586.96497,515.57404,615.8318,595.50995,691.47736,396.32706,659.89154,444.00934
813.47144,676.2227,896.77954,785.22925,587.1449,515.5908,615.9151,595.5501
587.1449,515.5908,615.9151,595.5501,691.6294,396.1902,660.0646,444.12238
905.3656,547.7907,922.89325,625.0757,813.647,676.334,896.8591,785.224
813.647,676.334,896.8591,785.224,587.013,515.5483,615.9933,595.4189
587.013,515.5483,615.9933,595.4189,691.4397,396.37555,660.23505,444.054
691.4397,396.37555,660.23505,444.054,905.3656,547.7907,922.89325,625.0757
813.70087,676.20557,896.9609,785.14935,586.99207,515.2587,615.989,595.4011
586.99207,515.2587,615.989,595.4011,691.9562,396.186,660.61224,444.06537
905.41754,547.9366,923.1366,625.13336,813.80804,676.1872,897.0308,785.19696
813.80804,676.1872,897.0308,785.19696,587.1493,515.247,616.097,595.40656
587.1493,515.247,616.097,595.40656,692.0161,396.6484,660.7662,444.09906
692.0161,396.6484,660.7662,444.09906,905.41754,547.9366,923.1366,625.13336
905.51917,547.91766,923.4238,625.1915,813.90466,676.1979,897.1748,785.1345
813.90466,676.1979,897.1748,785.1345,587.33746,515.2301,616.1705,595.4009
587.33746,515.2301,616.1705,595.4009,692.16644,396.31256,660.925,444.13635
692.16644,396.31256,660.925,444.13635,905.51917,547.91766,923.4238,625.1915
813.9783,676.1114,897.2745,785.028,587.4845,515.0751,616.33026,595.25305
587.4845,515.0751,616.33026,595.25305,692.3574,396.26175,660.9907,444.12796
905.9391,547.605,923.73663,625.08984,814.00006,675.9982,897.3453,784.92584
814.00006,675.9982,897.3453,784.92584,587.6738,514.8989,616.4937,595.1293
587.6738,514.8989,616.4937,595.1293,692.50024,396.03784,661.20715,444.25168
692.50024,396.03784,661.20715,444.25168,905.9391,547.605,923.73663,625.08984
906.0981,547.5749,923.8653,625.10516,814.04865,675.952,897.4759,784.9399
814.04865,675.952,897.4759,784.9399,587.77026,514.98444,616.63947,595.1988
906.27856,547.62317,924.0888,624.9927,814.1564,675.8985,897.67,784.96014
814.1564,675.8985,897.67,784.96014,587.82556,515.04565,616.765,595.26294
906.0863,547.7327,924.2577,624.9216,814.28595,675.91125,897.7754,784.95715
814.28595,675.91125,897.7754,784.95715,587.92065,515.0397,616.8852,595.2282
587.92065,515.0397,616.8852,595.2282,692.9321,396.2367,661.9522,444.13638
692.9321,396.2367,661.9522,444.13638,906.0863,547.7327,924.2577,624.9216
814.39166,675.8886,897.9234,784.9223,588.0364,514.95465,616.9808,595.1965
588.0364,514.95465,616.9808,595.1965,693.0995,396.17038,662.1157,444.15414
814.50275,675.892,898.06055,784.8993,588.15356,514.9504,617.10297,595.19324
814.5551,675.858,898.1922,784.86816,588.18317,514.938,617.2206,595.2081
814.7701,675.77026,898.294,784.829,588.27277,514.96356,617.31433,595.14264
588.27277,514.96356,617.31433,595.14264,693.54144,396.06,662.6453,444.0794
814.7839,675.7514,898.45105,784.8026,588.42645,514.94666,617.4625,595.0898
588.42645,514.94666,617.4625,595.0898,693.63226,396.0366,662.7247,443.99924
907.05115,547.6395,925.37256,624.8743,814.88794,675.70026,898.64026,784.7925
814.88794,675.70026,898.64026,784.7925,588.54395,514.9796,617.5681,595.0407
588.54395,514.9796,617.5681,595.0407,693.7214,396.0289,662.874,443.97687
693.7214,396.0289,662.874,443.97687,907.05115,547.6395,925.37256,624.8743
907.18854,547.5504,925.45593,624.8798,814.98486,675.6747,898.8209,784.7743
814.98486,675.6747,898.8209,784.7743,588.6921,514.9531,617.6689,594.9922
907.34576,547.61285,925.64435,624.8503,815.0634,675.6924,898.877,784.67615
815.0634,675.6924,898.877,784.67615,588.7906,514.9289,617.75037,594.9984
588.7906,514.9289,617.75037,594.9984,693.80133,396.08334,662.9522,443.78284
693.80133,396.08334,662.9522,443.78284,907.34576,547.61285,925.64435,624.8503
907.4508,547.6514,925.7607,624.8274,815.1399,675.7014,898.9486,784.5839
815.1399,675.7014,898.9486,784.5839,588.8802,514.8726,617.80707,594.9879
907.5262,547.6228,925.9803,624.7572,815.235,675.72516,899.11334,784.6215
815.235,675.72516,899.11334,784.6215,589.054,514.85626,618.02795,594.9743
907.66846,547.6445,926.23254,624.70703,815.30304,675.7556,899.18585,784.64667
815.30304,675.7556,899.18585,784.64667,589.10504,514.8409,618.2362,594.9652
907.9806,547.64923,926.4372,624.7348,815.397,675.75214,899.32886,784.5797
815.397,675.75214,899.32886,784.5797,589.23926,514.87067,618.3875,594.9595
589.23926,514.87067,618.3875,594.9595,694.4344,395.7632,663.76196,443.6532
694.4344,395.7632,663.76196,443.6532,907.9806,547.64923,926.4372,624.7348
908.3106,547.7188,926.6342,624.7221,815.5085,675.7208,899.53986,784.54175
815.5085,675.7208,899.53986,784.54175,589.33276,514.86786,618.5356,594.95026
