,id,x,y,frame,camera
0,0,763.9361,537.58514,0,0
1,1,750.30945,568.88495,0,0
2,2,736.7919,600.73944,0,0
3,3,722.01776,633.80286,0,0
4,4,707.2681,667.70807,0,0
5,5,711.35223,500.45486,0,0
6,6,696.9375,531.0324,0,0
7,7,681.9728,562.7199,0,0
8,8,666.8038,595.0974,0,0
9,9,651.1554,628.6018,0,0
10,10,658.2295,463.1094,0,0
11,11,643.0635,493.16168,0,0
12,12,627.2104,524.2279,0,0
13,13,611.4985,556.3531,0,0
14,14,594.7587,589.0514,0,0
15,15,605.08746,425.3621,0,0
16,16,588.9615,455.15344,0,0
17,17,572.47034,485.62283,0,0
18,18,555.4856,516.9407,0,0
19,19,538.0056,549.4244,0,0
20,20,551.459,387.80893,0,0
21,21,534.6074,416.7473,0,0
22,22,517.094,446.74112,0,0
23,23,499.28873,477.65115,0,0
24,24,481.09018,509.53638,0,0
25,0,763.9002,537.3639,1,0
26,1,750.30164,568.89886,1,0
27,2,736.8748,600.6529,1,0
28,3,722.03687,633.6508,1,0
29,4,707.2532,667.4258,1,0
30,5,711.37024,500.36508,1,0
31,6,696.9739,531.0037,1,0
32,7,682.00616,562.67206,1,0
33,8,666.8182,594.9948,1,0
34,9,651.19104,628.39496,1,0
35,10,658.2581,463.04266,1,0
36,11,643.1451,493.15063,1,0
37,12,627.1911,524.1648,1,0
38,13,611.4252,556.0427,1,0
39,14,594.71436,588.9242,1,0
40,15,605.1343,425.281,1,0
41,16,589.17847,454.9584,1,0
42,17,572.4547,485.48853,1,0
43,18,555.46295,516.7354,1,0
44,19,537.95917,549.25494,1,0
45,20,551.4411,387.83008,1,0
46,21,534.61365,416.47223,1,0
47,22,517.181,446.53424,1,0
48,23,499.28275,477.3653,1,0
49,24,481.1095,509.32367,1,0
50,0,763.9189,537.4076,2,0
51,1,750.32306,568.89703,2,0
52,2,736.8705,600.62524,2,0
53,3,722.0462,633.5237,2,0
54,4,707.21466,667.4246,2,0
55,5,711.33765,500.27838,2,0
56,6,696.9982,530.9839,2,0
57,7,682.0469,562.5324,2,0
58,8,666.8383,594.86487,2,0
59,9,651.25653,628.2292,2,0
60,10,658.15137,462.8105,2,0
61,11,643.09314,492.84146,2,0
62,12,627.25507,524.08386,2,0
63,13,611.28546,556.0899,2,0
64,14,594.6951,588.8131,2,0
65,15,605.16046,425.15198,2,0
66,16,589.2136,455.0,2,0
