Frame,Fish1_X,Fish1_Y,Fish2_X,Fish2_Y,Fish3_X,Fish3_Y,Fish4_X,Fish4_Y,Fish5_X,Fish5_Y,Fish6_X,Fish6_Y,Fish7_X,Fish7_Y,Fish8_X,Fish8_Y
0,1366.388454,413.8267358,1072.861505,653.0753645,768.2614083,734.4324905,1483.442387,862.2659501,1014.434333,275.8433009,1333.415015,784.0473041,1206.214802,818.4768981,1079.856763,537.0874236
1,1366.388454,418.5639516,1082.02865,655.0545122,768.2614083,734.4324905,1488.951074,868.9426297,1014.434333,277.5548283,1333.415015,789.5204535,1206.214802,818.4768981,1079.856763,539.9164927
2,1366.388454,420.9440989,1092.785569,655.0545122,769.3109723,734.4324905,1493.709211,872.3984349,1014.434333,278.5705171,1333.415015,793.3581729,1206.214802,818.4768981,1079.856763,544.0696628
3,1361.871311,421.7696284,1104.309296,655.0545122,769.3109723,731.316081,1497.879849,874.0742063,1010.402415,278.9768678,1328.818685,795.7513863,1200.19294,814.7462424,1076.622724,548.867977
4,1356.941671,421.8429908,1115.776863,648.0237645,769.3109723,725.2183973,1501.626042,875.4107845,1006.483237,278.9768678,1323.649781,796.2738264,1194.516298,814.2527587,1072.817804,553.7316414
5,1351.688707,421.9666367,1126.365305,640.2903361,775.4545482,716.2571921,1505.110842,877.84901,1002.674336,278.9768678,1318.369197,796.2738264,1189.081048,813.5593264,1069.293446,558.4775148
6,1346.211564,422.7556773,1135.449641,634.0163523,786.0978483,705.3859526,1508.497303,882.1682668,998.9732494,278.7435179,1313.356517,796.2738264,1183.783361,809.1886086,1066.901091,563.0216191
7,1340.649257,424.0758658,1143.196832,628.4046042,798.8270597,695.6355273,1511.948477,886.5021114,995.3775141,278.7435179,1308.666072,796.2738264,1178.519408,803.3735907,1066.111892,567.3269097
8,1335.150772,425.605616,1149.971827,623.2886201,810.5385826,689.5891247,1515.605888,888.9132523,991.8846673,278.7435179,1304.270878,796.2738264,1173.18536,799.094376,1065.875857,571.5440762
9,1329.865095,427.0233415,1156.139574,622.4024374,818.9196601,685.8837633,1519.524945,889.8268311,988.4922461,279.0851097,1300.143954,796.5841338,1167.677388,796.6092186,1064.762705,575.8707421
10,1324.941211,428.007456,1162.065021,622.137296,824.8209056,681.876417,1523.73953,890.2585981,985.1965218,279.9795813,1296.258316,798.0956795,1161.920363,795.2715216,1062.142036,580.5045306
11,1320.477025,428.4414922,1168.048138,620.6993635,829.6328031,675.6569492,1528.180961,891.223586,981.9887023,281.0908301,1292.56271,799.0873979,1155.953954,793.5371358,1062.142036,585.643065
12,1316.366122,429.0294578,1174.128977,620.228042,833.7419462,668.5598466,1532.370301,893.7339581,978.8587298,282.1040197,1288.908788,799.6259363,1149.846532,790.6261796,1062.142036,591.4839687
13,1312.451009,430.6804798,1180.28261,620.228042,837.2839563,662.7307517,1535.947953,893.7339581,975.7965464,282.986185,1285.12393,800.0184839,1143.666466,788.8208336,1070.046336,597.953938
14,1308.574191,433.9283617,1186.484112,617.6851087,840.3944546,659.1455137,1539.441933,896.6397568,972.7920944,284.8318475,1281.269504,800.5722299,1137.482125,787.821686,1082.142976,603.8959609
15,1304.578172,437.8056139,1192.708555,617.4994963,843.2090625,654.1008085,1543.60216,897.4515502,969.8353157,288.5635631,1278.342833,801.5943637,1131.359638,786.682138,1095.699673,607.8820987
16,1300.351381,441.1721308,1198.931013,620.228042,845.8284481,644.8103142,1548.840621,898.5102944,966.9161527,293.2885394,1276.959597,803.2610995,1125.356169,785.4370926,1108.489085,607.8820987
17,1295.96593,443.6986373,1205.126559,618.7074578,848.2134672,636.8348911,1554.217586,902.4398554,964.0245473,297.6601471,1275.272944,805.2247511,1119.526642,784.3668278,1120.303624,607.8820987
18,1291.539853,445.2585655,1211.270266,618.7074578,850.2900228,633.6510491,1558.734121,904.261358,961.1504419,300.3317567,1271.615139,807.0066574,1113.92598,783.7516216,1131.440643,606.3093033
19,1287.191185,446.0518462,1217.337207,618.7074578,851.9840175,626.5336474,1562.506194,905.6215839,958.2831471,300.8511553,1267.497432,807.5026836,1108.583593,783.6987652,1142.076868,605.0685376
20,1283.03796,447.5844058,1223.302455,620.1924565,853.3341263,618.9971758,1565.9285,906.4085821,955.4094482,302.3437954,1264.599593,807.5026836,1103.426832,783.6236021,1151.906519,604.8772114
21,1279.214879,451.1969514,1229.146803,620.1924565,854.8301116,612.9552085,1569.395735,907.6530681,952.5154991,306.9331725,1262.096492,807.5026836,1098.357537,782.7684887,1160.50319,604.8772114
22,1275.923313,456.2633174,1234.873913,620.1924565,857.0745081,608.8003568,1573.302594,912.457763,949.5874537,310.5723306,1258.536771,806.2110493,1093.277546,780.6174323,1167.440476,604.8772114
23,1272.661054,458.4895059,1240.493169,619.4832589,860.318625,605.0543064,1577.85926,916.5350954,946.611466,312.9781071,1253.086976,804.6559921,1088.088698,777.6210442,1172.29197,605.8580425
24,1267.555714,459.8582862,1246.013952,620.1924565,863.4088699,596.813053,1582.537881,918.945569,943.5736897,315.1286676,1247.385268,803.1293936,1082.730081,774.397479,1174.631266,607.294985
25,1267.555714,465.8047727,1251.445645,621.0397191,865.3419919,590.8682384,1586.626093,920.2113717,940.4602789,316.273567,1243.17816,801.8914007,1077.289784,771.2684611,1177.512396,609.0498008
26,1267.555714,474.3640427,1256.797631,619.762608,867.1210087,587.4075817,1589.730784,920.8546913,937.2573873,316.273567,1240.173956,801.1141975,1071.893145,768.4816071,1188.443874,610.5901612
