Frame,Fish1_X,Fish1_Y,Fish2_X,Fish2_Y,Fish3_X,Fish3_Y,Fish4_X,Fish4_Y,Fish5_X,Fish5_Y,Fish6_X,Fish6_Y,Fish7_X,Fish7_Y,Fish8_X,Fish8_Y
0,513.405,124.871,302.127694,443.2884263,364.966306,390.2365466,1293.23,299.848,816.503,254.372,1159.436,215.953,482.43,698.14,352.093,303.256
1,513.405,125.532,306.576,437.564,367.985612,383.8735684,1294.984,299.848,818.523,260.36,1159.436,216.641,485.025,699.863,352.683,303.797
2,513.405,129.293,304.7911639,443.602612,383.0821421,380.8542624,1297.359,299.848,820.89,263.174,1159.436,216.699,486.078,700.17,352.683,309.548
3,508.078,129.293,306.576,433.095,389.0653662,377.3412624,1304.108,296.909,822.652,265.619,1155.199,217.177,491.841,706.659,356.430306,304.2705737
4,507.37,130.799,306.576,431.243,394.7639782,372.1612624,1305.593,292.834,826.943,270.312,1153.04,218.32,491.89,710.142,360.4652459,289.1740436
5,506.953,131.642,306.291,431.652,400.118,367.676,1311.573,290.523,829.749,272.269,1150.786,218.454,492.629,712.414,353.882,290.64
6,506.293,132.19,306.291,431.243,402.545,364.092,1313.878,287.818,833.127,277.834,1144.752,219.132,492.66,713.713,353.139,287.182
7,501.623,137.526,306.291,431.243,405.877,360.555,1317.869,287.348,833.383,279.688,1140.339,218.561,493.342,715.761,352.96,286.723
8,496.216,140.348,307.828,430.025,408.366,357.098,1322.37,285.34,834.991,281.958,1137.407,219.136,493.627,722.966,351.415,284.217
9,494.471,144.718,308.094,428.662,411.609,352.282,1328.618,283.778,840.118,285.577,1136.431,219.06,496.2,725.087,350.543,284.217
10,493.485,146.208,308.24,426.72,412.565,348.477,1328.794,283.129,843.205,288.72,1129.973,219.136,497.544,727.693,350.162,281.121
11,490.68,146.452,311.573,418.824,415.621,345.672,1333.378,280.621,848.468,291.981,1125.995,219.634,497.998,729.411,350.162,279.747
