,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X_Distance,Y_Distance,Z_Distance,Distance,Angle,Yaw Heading_Diff,Pitch Heading_Diff,Fish1_Speed,Fish2_Speed,Fish1_X,Fish1_Y,Fish1_Z,Fish2_X,Fish2_Y,Fish2_Z,Speed_Diff,Sync
0,2021,10,06,34,Y,N,2,individual1xindividual2,0,,,,,,,,2.949592193658183,,0.04585713741272409,0.15554506996588274,0.06563569303062604,,,,,0.9989129847609772
1,2021,10,06,34,Y,N,2,individual1xindividual2,1,,,,,,,,4.065970502406084,,0.048210323430450085,0.1490304951975885,0.06805187082080574,,,,,0.9756993170824985
2,2021,10,06,34,Y,N,2,individual1xindividual2,2,,,,,,,,8.656358891688924,,0.0642076120232359,0.14160737942774917,0.18405349275672214,,,,,0.6582522286619603
3,2021,10,06,34,Y,N,2,individual1xindividual2,3,,,,,,,,,,,,,,,,,0.6093040160301818
4,2021,10,06,34,Y,N,2,individual1xindividual2,4,,,,,,,,,,,,,,,,,0.6093040160301818
5,2021,10,06,34,Y,N,2,individual1xindividual2,5,-0.9147178313675807,-0.03333606700697474,4.997805327703054,5.0809327980206875,-63.985068439599495,97.15870027721267,58.45570279556759,3.1394312062409875,2.0371504369296987,0.2563576173437008,0.16676762393193292,0.11142884376357612,0.3324593967599893,0.16399416316515367,-0.30437356608533483,1.1022807693112882,0.6093040160301818
6,2021,10,06,34,Y,N,2,individual1xindividual2,6,-0.89702153992262,-0.22134055139064296,5.137237589830869,5.219659887113943,-166.19278943986566,117.66467051065462,52.91820525857891,3.810741999413691,2.138182471270259,0.27161448294587615,0.1847027232360367,0.09362552473316689,0.34624398400281836,0.16628785338198937,-0.33377723102799195,1.6725595281434316,0.5096950164524607
7,2021,10,06,34,Y,N,2,individual1xindividual2,7,-0.8702352472908054,-0.2713602008682492,4.939313339131473,5.022724560073412,-162.71873093903048,12.944577421400027,34.482183301101074,2.786591699036669,1.942766159208677,0.27736038066040886,0.19387022516155955,0.07257592604118376,0.349761342529262,0.17129387052992381,-0.3383601258345374,0.8438255398279926,0.5041611831425873
8,2021,10,06,34,Y,N,2,individual1xindividual2,8,-1.0367624767934496,-0.41420299813991823,4.981090946478783,5.104675070369111,-158.3242742102668,8.074430995614085,47.20887676695944,3.2995809378658443,1.9236596615062151,0.2670580701900699,0.20907306663331812,0.07152897574835523,0.35331359797185447,0.17461261979707132,-0.34288284772584005,1.3759212763596296,0.5041611831425873
9,2021,10,06,34,Y,N,2,individual1xindividual2,9,,,,,,,,3.3459545297718547,,0.24795465205948322,0.2217943805073353,0.06468456770362818,,,,,0.6993204432402699
10,2021,10,06,34,Y,N,2,individual1xindividual2,10,,,,,,,,,,,,,,,,,1.0
11,2021,10,06,34,Y,N,2,individual1xindividual2,11,,,,,,,,,,,,,,,,,1.0
0,2021,10,06,34,Y,N,2,individual3xindividual1,0,,,,,,,,,2.949592193658183,,,,0.04585713741272409,0.15554506996588274,0.06563569303062604,,0.8945531134410427
