,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X,Y,Heading,Speed,TB_Frequency,Fish_Length
0,2021,7,7,14,N,Y,0,individual1,0,,112.1282632,,,2.5,2.5
1,2021,7,7,14,N,Y,0,individual1,1,699.8360526,117.0756842,-126.8023982,0.417081953,4.073576799,4.073576799
2,2021,7,7,14,N,Y,0,individual1,2,748.5484211,,,,1.224489796,1.224489796
3,2021,7,7,14,N,Y,0,individual1,3,751.8748947,115.5454737,-96.10135028,1.090439406,1.224489796,1.224489796
4,2021,7,7,14,N,Y,0,individual1,4,700.5351053,119.7009474,-136.7208526,0.865238137,10.19548872,10.19548872
5,2021,7,7,14,N,Y,0,individual1,5,656.8543684,133.8813684,-151.2087792,0.606609316,1.714285714,1.714285714
6,2021,7,7,14,N,Y,0,individual1,6,622.1645789,130.9502105,-154.3129833,0.633357109,2.120300752,2.120300752
7,2021,7,7,14,N,Y,0,individual1,7,587.5514737,143.3774737,-167.959395,0.759103961,3.425101215,3.425101215
8,2021,7,7,14,N,Y,0,individual1,8,,,,,3.522267206,3.522267206
9,2021,7,7,14,N,Y,0,individual1,9,492.4627368,167.3082895,-179.9685907,1.056264555,2.677345538,2.677345538
10,2021,7,7,14,N,Y,0,individual1,10,447.6189474,207.7492632,150.0465515,1.545822837,2.285060477,2.285060477
11,2021,7,7,14,N,Y,0,individual1,11,394.6846316,264.4724211,142.6559937,1.177360412,1.071428571,1.071428571
12,2021,7,7,14,N,Y,0,individual1,12,,304.2330526,,,1.071428571,1.071428571
13,2021,7,7,14,N,Y,0,individual1,13,,342.2584211,,,1.071428571,1.071428571
0,2021,7,7,14,N,Y,0,individual2,0,1789.326368,417.5339474,-6.738711297,0.625073127,7.244582043,7.244582043
1,2021,7,7,14,N,Y,0,individual2,1,1821.790053,408.1655263,-6.92740272,0.585447802,4.439628483,4.439628483
2,2021,7,7,14,N,Y,0,individual2,2,1850.775263,387.4438421,-20.08537842,1.205480456,3.244019139,3.244019139
3,2021,7,7,14,N,Y,0,individual2,3,1876.619684,301.0222632,-58.41026034,1.561621769,1.165337586,1.165337586
4,2021,7,7,14,N,Y,0,individual2,4,,,,,0.444444444,0.444444444
5,2021,7,7,14,N,Y,0,individual2,5,,,,,0.444444444,0.444444444
6,2021,7,7,14,N,Y,0,individual2,6,,,,,0.444444444,0.444444444
7,2021,7,7,14,N,Y,0,individual2,7,,,,,0.444444444,0.444444444
8,2021,7,7,14,N,Y,0,individual2,8,,,,,0.444444444,0.444444444
9,2021,7,7,14,N,Y,0,individual2,9,,,,,0.444444444,0.444444444
10,2021,7,7,14,N,Y,0,individual2,10,,,,,0.868249054,0.868249054
11,2021,7,7,14,N,Y,0,individual2,11,1724.246579,313.6268947,111.8352619,1.164550462,1.176470588,1.176470588
12,2021,7,7,14,N,Y,0,individual2,12,1741.854,377.107,84.45622951,1.703760347,1.176470588,1.176470588
13,2021,7,7,14,N,Y,0,individual2,13,1815.145947,434.6213684,48.0629333,1.351185531,5.004221784,5.004221784
0,2021,7,7,14,N,Y,0,individual3,0,363.1210526,374.9678947,175.8644697,0.834377518,2.5,2.5
1,2021,7,7,14,N,Y,0,individual3,1,339.2037368,436.4540526,134.8080014,1.890536762,2.336328626,2.336328626
2,2021,7,7,14,N,Y,0,individual3,2,305.3589474,515.1261053,126.6430821,1.20787051,1.463414634,1.463414634
3,2021,7,7,14,N,Y,0,individual3,3,297.7100526,578.2414737,106.705319,1.446219486,1.463414634,1.463414634
4,2021,7,7,14,N,Y,0,individual3,4,324.6014211,654.1191053,85.68139449,1.129393934,0.983606557,0.983606557
5,2021,7,7,14,N,Y,0,individual3,5,330.9580526,707.5215263,89.1739047,0.751128231,0.983606557,0.983606557
6,2021,7,7,14,N,Y,0,individual3,6,349.3528947,,,,0.983606557,0.983606557
