,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X,Y,Heading,Speed,TB_Frequency,Fish_Length
0,2021,03,25,01,N,N,0,individual1,0,0.18201298980592484,0.03052559320339483,-38.728817123140935,1.5667720595265162,1.132075471698113,1.132075471698113
1,2021,03,25,01,N,N,0,individual1,1,0.21756441493973327,0.031530857495893086,-0.7188030800432134,1.684657144487492,1.132075471698113,1.132075471698113
2,2021,03,25,01,N,N,0,individual1,2,0.25008198123082664,0.03604470785376897,7.773218613738034,1.2923732154517669,1.132075471698113,1.132075471698113
3,2021,03,25,01,N,N,0,individual1,3,0.27635890397235874,0.043094229396029894,14.923342954011645,1.1232716836757988,1.3015557762330352,1.3015557762330352
4,2021,03,25,01,N,N,0,individual1,4,0.29916733903380244,0.0504620407298247,18.21284008856915,1.0348874950148765,1.333333333333333,1.333333333333333
5,2021,03,25,01,N,N,0,individual1,5,0.3195058888225648,0.05682920689834065,19.006277493924042,0.8662945214510597,2.596491228070175,2.596491228070175
6,2021,03,25,01,N,N,0,individual1,6,0.33841641256791244,0.062201260948848515,17.786630560129062,0.9238897262121367,5.6356275303643715,5.6356275303643715
7,2021,03,25,01,N,N,0,individual1,7,0.36131409905985323,0.06794484797250766,14.932418833958499,1.1812587535197256,2.638056680161944,2.638056680161944
8,2021,03,25,01,N,N,0,individual1,8,0.387674222973497,0.07392846197029637,13.158473376971212,1.2861524223459109,1.2,1.2
9,2021,03,25,01,N,N,0,individual1,9,0.41911066930093976,0.07366365775582326,2.5383189262786634,1.474189197761351,1.2,1.2
10,2021,03,25,01,N,N,0,individual1,10,0.4400752706669191,0.09159815624259791,39.11829915476906,1.888557080222708,1.1356504468718964,1.1356504468718964
11,2021,03,25,01,N,N,0,individual1,11,0.43703988682704187,0.13250120541357463,96.62089114507206,1.97724289848004,1.132075471698113,1.132075471698113
12,2021,03,25,01,N,N,0,individual1,12,,,,,1.132075471698113,1.132075471698113
13,2021,03,25,01,N,N,0,individual1,13,,,,,1.132075471698113,1.132075471698113
0,2021,03,25,01,N,N,0,individual2,0,0.23358468826157464,0.19737846503916529,15.328724272237517,1.015569505361647,4.615384615384615,4.615384615384615
1,2021,03,25,01,N,N,0,individual2,1,0.2551371212266243,0.20420930264619983,15.857751245691132,1.063520633604817,7.08502024291498,7.08502024291498
2,2021,03,25,01,N,N,0,individual2,2,0.2774153554716385,0.2099100322224374,12.59678300856807,0.9967122006741894,2.9729729729729732,2.9729729729729732
3,2021,03,25,01,N,N,0,individual2,3,0.29713090913601464,0.21203006145719766,6.6425177345524595,0.924862746993484,1.6216216216216217,1.6216216216216217
4,2021,03,25,01,N,N,0,individual2,4,0.31829559210921216,0.20337403907278953,-17.825847122474777,1.2769798018865421,1.881377945451172,1.881377945451172
5,2021,03,25,01,N,N,0,individual2,5,0.34406198069126637,0.18496182137461736,-43.47138016566126,1.6025005315828542,2.71431086076395,2.71431086076395
6,2021,03,25,01,N,N,0,individual2,6,0.35862447786635426,0.15219294863642502,-79.5789501452249,3.024925209208491,6.774628879892037,6.774628879892037
7,2021,03,25,01,N,N,0,individual2,7,,,,,3.229502327246688,3.229502327246688
8,2021,03,25,01,N,N,0,individual2,8,,,,,1.2244897959183672,1.2244897959183672
9,2021,03,25,01,N,N,0,individual2,9,0.32721265191430254,0.07761922634501096,-107.79678663963703,0.920678365795018,1.4758324382384531,1.4758324382384531
10,2021,03,25,01,N,N,0,individual2,10,,,,,5.473684210526316,5.473684210526316
11,2021,03,25,01,N,N,0,individual2,11,0.3338183170035999,0.1026746175174818,122.97551997177226,4.823026646691556,2.673684210526315,2.673684210526315
12,2021,03,25,01,N,N,0,individual2,12,0.33259492994073503,0.12137945678533572,103.2808434236701,0.6026955801259489,2.4,2.4
13,2021,03,25,01,N,N,0,individual2,13,0.31952550169615457,0.12340109843009585,144.71554320948653,0.8370070634175708,2.4,2.4
0,2021,03,25,01,N,N,0,individual3,0,0.30766440767932923,0.17659812985521472,-18.046828710927798,1.2389626829101588,8.596491228070176,8.596491228070176
1,2021,03,25,01,N,N,0,individual3,1,,,,,4.3358395989974925,4.3358395989974925
2,2021,03,25,01,N,N,0,individual3,2,,,,,0.7142857142857142,0.7142857142857142
3,2021,03,25,01,N,N,0,individual3,3,,,,,0.7142857142857142,0.7142857142857142
4,2021,03,25,01,N,N,0,individual3,4,0.37187378500595225,0.20159166187693356,30.01162811234725,0.7703222324361064,0.7142857142857142,0.7142857142857142
5,2021,03,25,01,N,N,0,individual3,5,0.38874443111619267,0.19467749267267512,-7.88729768179625,1.183198314120977,0.7142857142857142,0.7142857142857142
6,2021,03,25,01,N,N,0,individual3,6,,,,,1.5,1.5
7,2021,03,25,01,N,N,0,individual3,7,,,,,1.5,1.5
8,2021,03,25,01,N,N,0,individual3,8,0.40730687309445385,0.13638512277346387,-110.82615259104222,2.031144834768407,2.8421052631578947,2.8421052631578947
9,2021,03,25,01,N,N,0,individual3,9,0.3652356596277052,0.14150133883130506,168.67998582197953,1.9843117717795575,1.4453441295546556,1.4453441295546556
10,2021,03,25,01,N,N,0,individual3,10,0.3282571412887386,0.14848721001078147,171.11066300304057,1.4341647836516318,1.1538461538461537,1.1538461538461537
11,2021,03,25,01,N,N,0,individual3,11,,,,,1.4271255060728745,1.4271255060728745
12,2021,03,25,01,N,N,0,individual3,12,,,,,3.4496567505720823,3.4496567505720823
13,2021,03,25,01,N,N,0,individual3,13,0.24344939014067665,0.16303403656355725,172.55581953648698,1.1187357262385316,2.608695652173913,2.608695652173913
0,2021,03,25,01,N,N,0,individual4,0,0.31970745827298835,0.22382608123458111,-24.054392846492327,1.7064050420011567,9.275541795665635,9.275541795665635
1,2021,03,25,01,N,N,0,individual4,1,0.35162114340633527,0.19928140068154018,-41.71211344955901,1.876352852088738,1.1764705882352942,1.1764705882352942
2,2021,03,25,01,N,N,0,individual4,2,,,,,1.1764705882352942,1.1764705882352942
3,2021,03,25,01,N,N,0,individual4,3,,,,,1.424148606811146,1.424148606811146
4,2021,03,25,01,N,N,0,individual4,4,0.3037435587552114,0.13243621607325373,-156.94874288143671,1.067214624692755,1.5384615384615388,1.5384615384615388
5,2021,03,25,01,N,N,0,individual4,5,0.2795587883042097,0.1367549780352958,-179.13985545809228,1.2398376858643654,1.491063493630888,1.491063493630888
6,2021,03,25,01,N,N,0,individual4,6,0.25370292921471366,0.13733084876458157,-177.3281980408161,1.0219214902719307,1.4634146341463417,1.4634146341463417
7,2021,03,25,01,N,N,0,individual4,7,0.23267593729484146,0.13949372490108317,-179.25341918288564,0.800236406612459,2.266063103844335,2.266063103844335
8,2021,03,25,01,N,N,0,individual4,8,0.21554091548599671,0.14126800019927258,-179.29884288516172,0.8272869982997101,3.015433320142461,3.015433320142461
9,2021,03,25,01,N,N,0,individual4,9,0.1991692981047714,0.14324590686032615,179.67958686559422,0.6535341895787479,2.4185463659147866,2.4185463659147866
10,2021,03,25,01,N,N,0,individual4,10,0.18744331674388004,0.15663570868039733,150.69734200901473,1.5236468691739546,1.666666666666667,1.666666666666667
11,2021,03,25,01,N,N,0,individual4,11,0.19024506908451275,0.186219861825382,94.23434185554619,1.707377571824238,2.7719298245614037,2.7719298245614037
12,2021,03,25,01,N,N,0,individual4,12,0.21917561425457824,0.20093159453230086,28.340185584953957,1.3824177765809493,2.6315789473684212,2.6315789473684212
13,2021,03,25,01,N,N,0,individual4,13,0.24556404412126928,0.20737378064107206,13.621602277638212,,2.0,2.0
0,2021,03,25,01,N,N,0,individual5,0,0.2703801540912727,0.10299142658105583,-3.801850027538619,1.187131911540983,1.2,1.2
1,2021,03,25,01,N,N,0,individual5,1,0.29515982391861334,0.10292621346922702,-3.2928704607409105,0.9845110724363442,1.2,1.2
2,2021,03,25,01,N,N,0,individual5,2,0.3153929751792383,0.1010714682629261,-7.985978297625597,0.8146595044273174,1.3342105263157893,1.3342105263157893
3,2021,03,25,01,N,N,0,individual5,3,0.3324998566588694,0.09964046633204744,-8.860491429059737,0.7746097235672307,3.5097254004576652,3.5097254004576652
4,2021,03,25,01,N,N,0,individual5,4,0.3502951202028591,0.09887084593068844,-5.916790096112415,0.9064664815131658,2.608695652173913,2.608695652173913
5,2021,03,25,01,N,N,0,individual5,5,0.3677439352524883,0.11060315112332694,26.12976141755773,1.486882739939783,1.132075471698113,1.132075471698113
6,2021,03,25,01,N,N,0,individual5,6,0.3797062508743403,0.1390618454182274,59.448801084852185,1.2191741198074737,1.132075471698113,1.132075471698113
7,2021,03,25,01,N,N,0,individual5,7,,,,,1.0644408062481545,1.0644408062481545
8,2021,03,25,01,N,N,0,individual5,8,,,,,0.8108108108108109,0.8108108108108109
9,2021,03,25,01,N,N,0,individual5,9,0.3742403039360169,0.1939132740436953,133.61990321897213,1.2593310108534246,0.8108108108108109,0.8108108108108109
10,2021,03,25,01,N,N,0,individual5,10,0.3499451798016558,0.20162391547666267,159.03625818619363,1.056718348214891,0.8108108108108109,0.8108108108108109
11,2021,03,25,01,N,N,0,individual5,11,0.3305351650319981,0.20869978007863677,165.04914231942686,0.8721477901383038,1.3442389758179232,1.3442389758179232
12,2021,03,25,01,N,N,0,individual5,12,0.3105366449740285,0.20706511006995423,-179.5075631631065,1.0963674926069473,2.5657894736842106,2.5657894736842106
13,2021,03,25,01,N,N,0,individual5,13,0.2868746712052183,0.20598086794147444,-174.7211088436993,1.1572213133645364,3.75,3.75
0,2021,03,25,01,N,N,0,individual6,0,0.13622170019987973,0.09150756333509279,5.861305299826353,1.4184131036219005,1.875,1.875
1,2021,03,25,01,N,N,0,individual6,1,0.1656839763096758,0.09805357467555163,7.893848886048019,1.5193724364727,1.875,1.875
2,2021,03,25,01,N,N,0,individual6,2,0.2029988029280601,0.10259135478358576,4.132588157953771,1.6548433868263597,2.7434210526315788,2.7434210526315788
3,2021,03,25,01,N,N,0,individual6,3,0.2355069086991693,0.10379373761286846,2.2728415859472446,1.2483555258119416,6.382271468144046,6.382271468144046
4,2021,03,25,01,N,N,0,individual6,4,0.2634656972146791,0.10440748081788263,1.9405985770168048,1.160829840129086,3.314322959100538,3.314322959100538
5,2021,03,25,01,N,N,0,individual6,5,0.2878213565420029,0.10525904800595383,2.4860140770204597,1.0322484116223192,3.5294117647058827,3.5294117647058827
6,2021,03,25,01,N,N,0,individual6,6,0.3110501694123317,0.10726384186587917,4.4419531430344765,1.074837999450623,3.1048208757187084,3.1048208757187084
7,2021,03,25,01,N,N,0,individual6,7,,,,,1.720580521070117,1.720580521070117
8,2021,03,25,01,N,N,0,individual6,8,,,,,0.6976744186046511,0.6976744186046511
9,2021,03,25,01,N,N,0,individual6,9,,,,,0.6976744186046511,0.6976744186046511
10,2021,03,25,01,N,N,0,individual6,10,,,,,0.6976744186046511,0.6976744186046511
11,2021,03,25,01,N,N,0,individual6,11,,,,,0.6976744186046511,0.6976744186046511
12,2021,03,25,01,N,N,0,individual6,12,0.3365062507172948,0.1522593186854715,109.12000381719992,1.5447225677675966,4.0,4.0
13,2021,03,25,01,N,N,0,individual6,13,,,,,4.0,4.0
0,2021,03,25,01,N,N,0,individual7,0,0.07603475727906558,0.16226476439260096,162.7695821883057,1.3752223300483848,3.5789473684210527,3.5789473684210527
1,2021,03,25,01,N,N,0,individual7,1,0.04927092420000706,0.17102158393529288,160.10793575882758,1.0654729231720002,6.092105263157895,6.092105263157895
2,2021,03,25,01,N,N,0,individual7,2,,,,,1.875,1.875
3,2021,03,25,01,N,N,0,individual7,3,0.04010981857456627,0.21237144612155942,54.44281932898939,,5.230263157894737,5.230263157894737
4,2021,03,25,01,N,N,0,individual7,4,,,,,2.960526315789474,2.960526315789474
5,2021,03,25,01,N,N,0,individual7,5,0.10962874652681676,0.2061636590443665,-8.309609897312178,1.7970514012457393,1.875,1.875
6,2021,03,25,01,N,N,0,individual7,6,0.1467642467373494,0.20063353763239786,-8.28755618796375,1.482628456130845,4.195780399274048,4.195780399274048
