,Year,Month,Day,Trial,Individual,Tailbeat,Ablation,Darkness,Flow,Angle_to_NN,Angle_PS,Distance_to_NN,Acceleration
0,2021,10,06,34,individual1,1.0,Y,N,2,0.45650346958898275,0.020961317253666775,2.7402287841079915,-0.000513485337225149
1,2021,10,06,34,individual1,2.0,Y,N,2,0.3120414173630759,0.013161799073012874,2.617101195621092,0.01206838847622335
2,2021,10,06,34,individual1,3.0,Y,N,2,0.7742613332060043,0.007104989783156436,2.54352494315827,-0.007951341173865844
3,2021,10,06,34,individual1,4.0,Y,N,2,1.1745067542355336,0.0016646979123181385,2.23274775158022,-0.0029061492226901907
4,2021,10,06,34,individual1,5.0,Y,N,2,1.028890390486756,0.005089507071911054,1.7305596102090561,0.00406539801928415
5,2021,10,06,34,individual1,6.0,Y,N,2,1.1934634795233239,0.007813593884971333,1.7902995561289954,0.0018312009959932972
6,2021,10,06,34,individual1,7.0,Y,N,2,-0.4882672108232636,0.0024168939333464273,2.464694243189497,0.0004327131838902177
7,2021,10,06,34,individual1,8.0,Y,N,2,-2.5162323840523713,0.019257373813265016,2.4319748181858816,-0.001076539260577008
8,2021,10,06,34,individual1,9.0,Y,N,2,-2.3859547168611663,0.006462323075531643,2.1060524438754396,0.0011169295368601406
9,2021,10,06,34,individual1,10.0,Y,N,2,-2.2504515093148294,0.002067945251144939,1.6366719523930726,-0.0003318279748079058
10,2021,10,06,34,individual1,11.0,Y,N,2,-2.114924378433128,,1.474472845054675,-0.0030370134471072066
11,2021,10,06,34,individual1,12.0,Y,N,2,,,,
12,2021,10,06,34,individual1,13.0,Y,N,2,-1.2813859527389229,,1.1888411693485688,-0.0007102794486779745
13,2021,10,06,34,individual1,14.0,Y,N,2,-1.1168558101127486,0.0011435405423101026,0.9954992321458604,0.00010489065870159841
14,2021,10,06,34,individual1,15.0,Y,N,2,,,0.7725710722652716,-0.0002713533184198221
0,2021,10,06,34,individual2,1.0,Y,N,2,-0.3786336152448045,,1.6815345335393912,-0.1264885475225685
1,2021,10,06,34,individual2,2.0,Y,N,2,-2.813175999114888,-6.45240670865401e-05,2.0509017997514185,0.011167453394986742
2,2021,10,06,34,individual2,3.0,Y,N,2,-2.9323810735469378,,4.258914643885743,0.00890915458950038
3,2021,10,06,34,individual2,4.0,Y,N,2,,,,
4,2021,10,06,34,individual2,5.0,Y,N,2,,,,
5,2021,10,06,34,individual2,6.0,Y,N,2,,,,
6,2021,10,06,34,individual2,7.0,Y,N,2,,,,
7,2021,10,06,34,individual2,8.0,Y,N,2,,,,
8,2021,10,06,34,individual2,9.0,Y,N,2,,,,
9,2021,10,06,34,individual2,10.0,Y,N,2,,,,
10,2021,10,06,34,individual2,11.0,Y,N,2,,,,
11,2021,10,06,34,individual2,12.0,Y,N,2,,,,
12,2021,10,06,34,individual2,13.0,Y,N,2,,,,
13,2021,10,06,34,individual2,14.0,Y,N,2,,,,
14,2021,10,06,34,individual2,15.0,Y,N,2,,,,
0,2021,10,06,34,individual3,1.0,Y,N,2,,,,
1,2021,10,06,34,individual3,2.0,Y,N,2,,,,
2,2021,10,06,34,individual3,3.0,Y,N,2,,,,
3,2021,10,06,34,individual3,4.0,Y,N,2,,,,
4,2021,10,06,34,individual3,5.0,Y,N,2,,,,
5,2021,10,06,34,individual3,6.0,Y,N,2,,,,
