Year,Month,Day,Trial,Ablation,Darkness,Singles,Flow,Frame,Fish,Turn_Dir,Fish_Left,Fish_Right,Right_Wall_Dist,Left_Wall_Dist
2021,10,06,34,Y,N,N,2,118,individual1,0,5,2,5.864531494820909,3.869350952325873
2021,10,06,34,Y,N,N,2,125,individual2,0,0,7,2.251129580918973,4.655252713968408
2021,10,06,34,Y,N,N,2,22,individual6,0,6,0,1.0267749941446116,3.2601202709617714
2024,01,19,06,Y,Y,N,2,47,individual1,0,1,5,2.239390930315071,1.616862382961931
2024,01,19,06,Y,Y,N,2,159,individual1,0,1,6,1.8687503012912898,1.682760898221464
2024,01,19,06,Y,Y,N,2,497,individual1,1,7,0,1.3369319122420205,2.6660094871395246
2024,01,19,06,Y,Y,N,2,508,individual1,0,7,0,1.3393120948003057,2.533894173314454
2024,01,19,06,Y,Y,N,2,165,individual3,1,3,4,2.5574793559055364,2.2136952937229357
2024,01,19,06,Y,Y,N,2,209,individual3,1,1,6,3.8958365226014764,1.8499875478079242
2024,01,19,06,Y,Y,N,2,260,individual3,0,0,7,3.1363270995468078,0.7718347936688259
2024,01,19,06,Y,Y,N,2,455,individual3,0,4,3,2.4480571741609807,1.9732151134724
2024,01,19,06,Y,Y,N,2,143,individual4,1,3,4,0.8912261866721779,3.066160236323636
2024,01,19,06,Y,Y,N,2,203,individual4,1,0,7,1.5606016937373035,3.022690276767743
2024,01,19,06,Y,Y,N,2,267,individual4,1,1,6,2.2301662759564778,1.7818980161311941
2024,01,19,06,Y,Y,N,2,367,individual4,0,2,5,2.7356936581312636,1.11741901853842
2024,01,19,06,Y,Y,N,2,494,individual4,1,4,3,1.8945609737056486,1.9554805364371481
2024,01,19,06,Y,Y,N,2,579,individual4,0,1,6,3.2552670305256344,0.5960035361218693
2024,01,19,06,Y,Y,N,2,160,individual5,0,1,6,1.9462954616536479,1.92631109141464
2024,01,19,06,Y,Y,N,2,260,individual5,1,2,5,2.925402439087574,1.8836842708741672
2024,01,19,06,Y,Y,N,2,340,individual5,0,0,7,3.4925460184189867,0.6908300098189845
2024,01,19,06,Y,Y,N,2,458,individual5,1,0,7,3.3102797664390695,0.7337304447329722
2024,01,19,06,Y,Y,N,2,486,individual5,0,0,7,3.5441477057454533,0.44865943505611416
2024,01,19,06,Y,Y,N,2,190,individual6,1,6,1,1.3503813364697979,2.863150113557661
2024,01,19,06,Y,Y,N,2,255,individual6,1,5,2,2.604623618367785,1.9403607089812187
2024,01,19,06,Y,Y,N,2,374,individual6,1,5,2,3.297614349715914,2.8382062262328343
2024,01,19,06,Y,Y,N,2,103,individual7,1,0,7,3.2478901475151454,0.8604938879820838
2024,01,19,06,Y,Y,N,2,156,individual7,0,0,7,3.665494557349728,0.4766029010011487
2024,01,19,06,Y,Y,N,2,535,individual7,1,2,5,3.263559817841513,0.6617065511887507
2024,01,19,06,Y,Y,N,2,478,individual8,0,3,4,2.2539703958566273,1.6007491035680612
2021,08,03,11,Y,N,N,2,19,individual1,1,3,3,2.109679388782412,7.754119696254863
2021,08,03,11,Y,N,N,2,59,individual1,1,5,2,1.8024326024295174,2.554096948045289
2021,08,03,11,Y,N,N,2,107,individual1,1,6,1,1.3789222317890693,2.467559915988404
2021,08,03,11,Y,N,N,2,257,individual2,1,5,2,1.4108392727361891,2.554221362305111
2021,08,03,11,Y,N,N,2,344,individual2,0,3,3,1.609187507810857,2.23851707887703
2021,08,03,11,Y,N,N,2,99,individual3,0,0,7,3.096922412740527,1.2811935162289583
2021,08,03,11,Y,N,N,2,263,individual3,1,6,1,0.8302420563493088,3.017677196793198
2021,08,03,11,Y,N,N,2,59,individual4,0,6,1,1.8359058722902644,2.0636448388373965
2021,08,03,11,Y,N,N,2,127,individual4,0,2,5,1.549922515370391,2.6870750615909524
2021,08,03,11,Y,N,N,2,157,individual4,1,7,0,1.3278793312728638,2.6305766546882716
2021,08,03,11,Y,N,N,2,185,individual4,1,6,0,1.8663041898693544,3.088167113547478
2021,08,03,11,Y,N,N,2,242,individual4,1,5,2,6.3269150013309385,3.8845321180415397
2021,08,03,11,Y,N,N,2,72,individual5,1,1,6,3.105001907169908,6.703769598644687
2021,08,03,11,Y,N,N,2,176,individual6,1,3,2,2.064386929868333,2.4474940363647284
2021,08,03,11,Y,N,N,2,210,individual6,1,0,6,2.2323823404279466,1.7884582576460146
2021,08,03,11,Y,N,N,2,238,individual6,1,0,7,2.2882237744302523,1.800206372504866
2021,08,03,11,Y,N,N,2,285,individual6,0,0,7,2.183464574268978,1.6677149779849139
2021,08,03,11,Y,N,N,2,346,individual6,0,4,2,2.7157986933650498,2.3012384614727286
2021,08,03,11,Y,N,N,2,90,individual7,0,3,4,3.65248206151478,2.9476902471132833
2021,08,03,11,Y,N,N,2,123,individual7,0,2,5,2.4412186686712993,2.342884154855047
2021,08,03,11,Y,N,N,2,147,individual7,0,4,3,2.113933691073307,2.1529948257496407
2021,08,03,11,Y,N,N,2,183,individual7,1,1,5,2.253681823915111,2.280048279030913
2021,08,03,11,Y,N,N,2,199,individual7,1,2,4,2.600907071401002,2.6719856081861315
2021,08,03,11,Y,N,N,2,344,individual7,1,1,5,2.4988457504089463,2.845096678113894
2021,08,03,11,Y,N,N,2,368,individual7,1,1,6,3.6991004768397366,4.3133926396956355
2021,08,03,11,Y,N,N,2,84,individual8,0,7,0,5.35972996434122,4.567343394294195
2021,08,03,11,Y,N,N,2,124,individual8,0,7,0,1.198957807863895,3.4058935458010127
2021,07,07,19,N,Y,N,0,19,individual1,0,0,6,3.7214980645250755,0.6764129170899785
2021,07,07,19,N,Y,N,0,166,individual1,1,3,3,3.214916193108809,0.7383333555657277
2021,07,07,19,N,Y,N,0,247,individual1,0,2,4,3.4125546931581496,0.5183402969562253
2021,07,07,19,N,Y,N,0,292,individual1,0,1,6,5.922364517108244,2.3273270299162916
2021,07,07,19,N,Y,N,0,347,individual1,0,0,5,2.3792393856587477,3.0354824035095183
2021,07,07,19,N,Y,N,0,47,individual2,0,4,2,1.3435085554543449,2.531746842315213
2021,07,07,19,N,Y,N,0,86,individual2,0,5,0,4.320308505797235,2.2828115337182386
2021,07,07,19,N,Y,N,0,114,individual2,0,1,4,2.610228179881266,1.684353632167006
2021,07,07,19,N,Y,N,0,217,individual2,0,0,7,1.9947646507203023,1.8731631036948435
2021,07,07,19,N,Y,N,0,226,individual2,0,3,3,2.2833417582854985,2.1447241582278584
2021,07,07,19,N,Y,N,0,253,individual2,1,6,1,3.5325780725858458,3.783788894437828
2021,07,07,19,N,Y,N,0,275,individual2,1,6,1,3.420229373489789,5.586371108687396
2021,07,07,19,N,Y,N,0,310,individual2,1,3,3,2.5551542273407097,3.5177510626801984
2021,07,07,19,N,Y,N,0,65,individual3,0,2,3,2.952322839067456,2.2773553847121173
2021,07,07,19,N,Y,N,0,109,individual3,0,3,2,3.3986606929003274,1.8520321358258875
2021,07,07,19,N,Y,N,0,269,individual3,1,2,5,1.2071588396780546,2.9853763233054664
2021,07,07,19,N,Y,N,0,299,individual3,0,2,5,1.359353007403053,3.326702400414637
2021,07,07,19,N,Y,N,0,329,individual3,1,3,4,1.1863426724935597,3.0932165468242188
2021,07,07,19,N,Y,N,0,19,individual4,1,5,1,1.5165602854795337,2.6842773319814985
2021,07,07,19,N,Y,N,0,49,individual4,1,2,3,3.8988127367720646,3.6268404492673003
2021,07,07,19,N,Y,N,0,207,individual4,0,2,5,6.6877489132489245,1.3649842444128226
2021,07,07,19,N,Y,N,0,245,individual4,0,2,5,5.019259750774228,0.3051140693215348
2021,07,07,19,N,Y,N,0,274,individual4,0,1,6,3.926168590939139,0.1835510507248149
2021,07,07,19,N,Y,N,0,22,individual5,0,0,6,2.3704091875152216,0.663753472131624
2021,07,07,19,N,Y,N,0,56,individual5,1,2,4,1.593822012198197,1.9244935684491116
2021,07,07,19,N,Y,N,0,147,individual5,0,0,6,7.064319569656286,2.5760254809565883
2021,07,07,19,N,Y,N,0,174,individual5,1,0,7,0.8496922304061392,3.294092285556813
2021,07,07,19,N,Y,N,0,222,individual5,0,0,7,1.0758577630080737,3.086320726250646
2021,07,07,19,N,Y,N,0,260,individual5,1,7,0,1.8636937009354988,7.906568822092046
2021,07,07,19,N,Y,N,0,339,individual5,1,0,7,2.0382756436113474,1.9673867278133925
2021,07,07,19,N,Y,N,0,24,individual6,1,5,1,1.1751744416230638,8.45797239723145
2021,07,07,19,N,Y,N,0,49,individual6,1,4,1,1.7548026367228968,2.6447494569172076
2021,07,07,19,N,Y,N,0,78,individual6,1,4,2,1.7647847962462435,2.267047667793398
2021,07,07,19,N,Y,N,0,273,individual6,0,1,6,5.382602369162551,0.12263875498042415
2021,07,07,19,N,Y,N,0,310,individual6,0,0,6,4.155045481318747,0.16948598563087203
2021,07,07,19,N,Y,N,0,65,individual7,0,0,5,3.9991604788690527,0.21873620606880584
2021,07,07,19,N,Y,N,0,142,individual7,1,0,6,3.3823669345058645,0.6969264842822972
2021,07,07,19,N,Y,N,0,237,individual7,0,4,2,3.199522755239002,0.6574022110400418
2021,07,07,19,N,Y,N,0,348,individual7,1,6,0,0.7630989347356265,3.4032829129330033
2021,07,07,19,N,Y,N,0,336,individual8,0,3,4,5.554011583136516,4.107297205683792
2023,12,05,17,Y,Y,N,0,28,individual1,1,6,1,2.0136891878249377,3.4466396707691564
2023,12,05,17,Y,Y,N,0,236,individual1,0,2,5,6.64790318658467,2.980570321372332
2023,12,05,17,Y,Y,N,0,264,individual1,0,0,7,3.733391732800698,0.5429130388421852
2023,12,05,17,Y,Y,N,0,19,individual2,1,4,3,2.668969821273124,2.964384755710909
2023,12,05,17,Y,Y,N,0,78,individual2,0,2,5,7.090081140066587,2.5832866720574437
2023,12,05,17,Y,Y,N,0,110,individual2,0,0,7,3.3284868935739884,0.5517943620761618
2023,12,05,17,Y,Y,N,0,286,individual2,0,0,7,3.786505960118998,1.302896784782246
2023,12,05,17,Y,Y,N,0,429,individual2,0,1,6,3.991551870994462,0.21095822920133314
2023,12,05,17,Y,Y,N,0,45,individual3,0,0,7,9.294923242924721,0.34232318523484456
2023,12,05,17,Y,Y,N,0,88,individual3,0,0,7,3.4438589059883014,1.1611913856547202
