Year,Month,Day,Trial,Ablation,Darkness,Singles,Flow,Frame,Fish,Turn_Dir,Fish_Left,Fish_Right,Wall_Dist
2022,06,16,03,Y,N,N,0,144,individual3,1,5,2,651.9408378886716
2022,06,16,03,Y,N,N,0,162,individual6,0,5,2,305.4658743635666
2022,06,16,03,Y,N,N,0,222,individual6,0,0,7,1199.084599787405
2022,06,10,03,N,N,N,2,53,individual2,0,6,1,345.4836102728737
2022,06,10,03,N,N,N,2,91,individual5,0,7,0,167.57385336849023
2022,06,10,09,N,N,N,0,219,individual1,0,7,0,551.9857686344238
2022,06,10,09,N,N,N,0,228,individual7,0,2,5,553.2072868301912
2022,06,10,05,N,N,N,2,53,individual3,0,3,4,345.4836102728737
2022,06,10,02,N,N,N,0,254,individual3,0,0,7,791.3245835757998
2022,06,10,02,N,N,N,0,32,individual4,0,3,4,1206.4632147222844
2022,06,10,02,N,N,N,0,228,individual6,0,4,3,553.2072868301912
2022,06,16,07,Y,N,N,0,162,individual3,0,7,0,305.4658743635666
2022,06,16,07,Y,N,N,0,222,individual3,0,1,6,1199.084599787405
2022,06,14,08,N,Y,N,2,133,individual3,1,7,0,307.7882087803243
2022,06,14,08,N,Y,N,2,39,individual6,0,0,7,899.6547812121297
2022,06,10,07,N,N,N,0,219,individual3,0,7,0,551.9857686344238
2022,06,10,07,N,N,N,0,228,individual6,0,5,2,553.2072868301912
2022,06,10,07,N,N,N,0,254,individual7,0,0,7,791.3245835757998
2022,06,16,06,Y,N,N,0,162,individual5,0,6,1,305.4658743635666
2022,06,16,06,Y,N,N,0,222,individual5,0,1,6,1199.084599787405
2022,06,10,04,N,N,N,2,95,individual1,1,1,6,689.437640923269
2022,06,10,08,N,N,N,0,219,individual3,0,7,0,551.9857686344238
2022,06,10,10,N,N,N,2,53,individual1,0,3,4,345.4836102728737
2022,06,10,10,N,N,N,0,32,individual1,0,3,4,1206.4632147222844
2022,06,10,10,N,N,N,0,219,individual4,0,6,1,551.9857686344238
2022,06,14,06,N,Y,N,2,39,individual4,0,0,7,899.6547812121297
2022,06,14,06,N,Y,N,2,35,individual8,0,1,6,142.71744650927494
2022,06,16,01,Y,N,N,0,162,individual5,0,6,1,305.4658743635666
2022,06,16,01,Y,N,N,0,222,individual5,0,1,6,1199.084599787405
2022,06,16,01,Y,N,N,0,144,individual8,1,5,2,651.9408378886716
2022,06,10,01,N,N,N,2,53,individual1,0,3,4,345.4836102728737
2022,06,10,01,N,N,N,2,91,individual8,0,7,0,167.57385336849023
2022,06,16,04,Y,N,N,0,162,individual8,0,5,2,305.4658743635666
2022,06,16,04,Y,N,N,0,222,individual8,0,1,6,1199.084599787405
2022,06,16,10,Y,N,N,0,144,individual1,1,7,0,651.9408378886716
2022,06,16,10,Y,N,N,0,162,individual5,0,7,0,305.4658743635666
2022,06,16,10,Y,N,N,0,222,individual5,0,1,6,1199.084599787405
2022,06,10,03,N,N,N,0,228,individual5,0,3,4,553.2072868301912
2022,06,14,05,N,Y,N,2,39,individual7,0,0,7,899.6547812121297
2022,06,14,05,N,Y,N,2,35,individual8,0,2,5,142.71744650927494
2022,06,10,04,N,N,N,0,219,individual8,0,7,0,551.9857686344238
2022,06,16,05,Y,N,N,0,162,individual4,0,5,2,305.4658743635666
2022,06,16,05,Y,N,N,0,222,individual4,0,1,6,1199.084599787405
2022,06,14,01,N,Y,N,2,133,individual3,1,7,0,307.7882087803243
2022,06,10,09,N,N,N,2,95,individual3,1,1,6,689.437640923269
2022,06,10,09,N,N,N,2,53,individual8,0,4,3,345.4836102728737
2022,06,16,09,Y,N,N,0,162,individual3,0,6,1,305.4658743635666
2022,06,16,09,Y,N,N,0,222,individual3,0,1,6,1199.084599787405
2022,06,14,02,N,Y,N,2,133,individual1,1,7,0,307.7882087803243
2022,06,14,02,N,Y,N,2,35,individual8,0,3,4,142.71744650927494
2022,06,16,02,Y,N,N,0,162,individual6,0,6,1,305.4658743635666
2022,06,16,02,Y,N,N,0,222,individual6,0,2,5,1199.084599787405
2022,06,10,06,N,N,N,0,254,individual4,0,1,6,791.3245835757998
2022,06,10,02,N,N,N,2,91,individual1,0,7,0,167.57385336849023
2022,06,10,02,N,N,N,2,53,individual3,0,6,1,345.4836102728737
2022,06,10,02,N,N,N,2,95,individual8,1,0,7,689.437640923269
2022,06,14,04,N,Y,N,0,31,individual6,0,0,7,1620.9469312578533
2022,06,14,10,N,Y,N,0,31,individual4,0,0,7,1620.9469312578533
2022,06,10,06,N,N,N,2,53,individual4,0,4,3,345.4836102728737
2022,06,10,06,N,N,N,2,91,individual6,0,7,0,167.57385336849023
2022,06,14,07,N,Y,N,0,31,individual8,0,0,7,1620.9469312578533
2022,06,14,02,N,Y,N,0,31,individual5,0,0,7,1620.9469312578533
2022,06,10,07,N,N,N,2,91,individual7,0,7,0,167.57385336849023
2022,06,10,08,N,N,N,2,53,individual5,0,5,2,345.4836102728737
