,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X_Distance,Y_Distance,Distance,Angle,Heading_Diff,Speed_Diff,Sync
0,2021,07,07,14,N,Y,0,individual1xindividual2,0,,1.5824128715571308,,,,,0.23616357386506034
1,2021,07,07,14,N,Y,0,individual1xindividual2,1,-5.813233160621761,1.5082375238614671,6.0057023076519735,165.45053937757325,119.87516115436776,-0.1683658489618856,0.3666274844203475
2,2021,07,07,14,N,Y,0,individual1xindividual2,2,-5.711019907281155,,,,,,1.0
3,2021,07,07,14,N,Y,0,individual1xindividual2,3,-5.827693209708208,0.9610196345786747,5.906400501534321,170.5967975911206,37.74590223375406,-0.47118236319152934,1.0
4,2021,07,07,14,N,Y,0,individual1xindividual2,4,,,,,,,
5,2021,07,07,14,N,Y,0,individual1xindividual2,5,,,,,,,1.0
6,2021,07,07,14,N,Y,0,individual1xindividual2,6,,,,,,,1.0
0,2021,07,07,14,N,Y,0,individual3xindividual1,0,,-1.361863376056722,,,,,0.36546083247361916
1,2021,07,07,14,N,Y,0,individual3xindividual1,1,-1.8685612217071175,-1.6548101990728115,2.4959803353037446,-138.58657844937778,98.27468884772047,1.4734548095064957,0.33789920744780566
2,2021,07,07,14,N,Y,0,individual3xindividual1,2,-2.2963185164985,,,,,,0.32805576993858654
3,2021,07,07,14,N,Y,0,individual3xindividual1,3,-2.353185710389965,-2.3973886010362695,3.359308722335916,-134.4208414334752,157.42215420902443,0.35578008017861906,0.32805576993858654
4,2021,07,07,14,N,Y,0,individual3xindividual1,4,-1.9478429233706027,-2.7690059994545955,3.385481690858847,-125.12275055110167,137.59940480275978,0.2641557968433084,0.32805576993858654
5,2021,07,07,14,N,Y,0,individual3xindividual1,5,-1.6885819470957184,-2.9722287973820563,3.4183991891007626,-119.61749923135743,119.6170637782593,0.14451891474400785,0.32805576993858654
6,2021,07,07,14,N,Y,0,individual3xindividual1,6,-1.4135320425415872,,,,,,0.5726593006067141
0,2021,07,07,14,N,Y,0,individual4xindividual1,0,,-1.1055399509135533,,,,,0.7742835258795521
1,2021,07,07,14,N,Y,0,individual4xindividual1,1,3.8013905099536403,-1.023222252522498,3.936693230012063,-15.074556477787286,44.13333666256028,1.3831357659068277,0.36191779223528964
2,2021,07,07,14,N,Y,0,individual4xindividual1,2,2.9110458140169078,,,,,,0.10364941960276591
3,2021,07,07,14,N,Y,0,individual4xindividual1,3,2.298202890646305,-0.8535751295336788,2.4515968323387654,-20.366325524766438,66.8387115477345,0.7172991883488051,0.4033136039218757
4,2021,07,07,14,N,Y,0,individual4xindividual1,4,,,,,,,0.36487732194045214
5,2021,07,07,14,N,Y,0,individual4xindividual1,5,1.9932746113989637,-0.5497474775020453,2.0676958106712777,-15.43247375201484,10.751018072372796,0.7402215051000419,0.24898421945465837
0,2021,07,07,14,N,Y,0,individual6xindividual1,0,,-1.1274147804745023,,,,,0.5215151141275867
1,2021,07,07,14,N,Y,0,individual6xindividual1,1,0.24628824652304346,-0.8950668121079901,0.9283331829211727,-74.33947822776732,70.50491745805601,0.6327903220015367,0.45389705639144357
2,2021,07,07,14,N,Y,0,individual6xindividual1,2,0.3242656122170712,,,,,,0.18304542673239932
3,2021,07,07,14,N,Y,0,individual6xindividual1,3,0.8564412326152169,-0.6464715025906737,1.0730410004213797,-38.823099411491356,78.13453717962788,0.7089119277914682,0.12549125237736236
4,2021,07,07,14,N,Y,0,individual6xindividual1,4,1.618600490864467,-0.48639623670575394,1.690103206348125,-17.127520805661945,120.51470909914,,0.12029783920303239
5,2021,07,07,14,N,Y,0,individual6xindividual1,5,2.2585025906735745,,,,,,0.17245946259305778
0,2021,07,07,14,N,Y,0,individual7xindividual1,0,,,,,,,0.31554504621792795
1,2021,07,07,14,N,Y,0,individual7xindividual1,1,,,,,,,0.45306403513297155
2,2021,07,07,14,N,Y,0,individual7xindividual1,2,1.6833741478047448,,,,,,0.5345844887680159
3,2021,07,07,14,N,Y,0,individual7xindividual1,3,1.436414235069539,-0.9813070629942733,1.7396118551541477,-34.15858682168057,136.5271677100925,1.3434270860633901,0.5345844887680159
4,2021,07,07,14,N,Y,0,individual7xindividual1,4,1.371967821107172,-1.4613206981183524,2.004433557118487,-46.75720529390551,99.11813841020553,0.7499148182553246,0.5023527519578818
5,2021,07,07,14,N,Y,0,individual7xindividual1,5,1.329088901008999,-1.7142999727297517,2.169170740925328,-52.16191383865905,80.70281105771132,0.6256195532678763,0.4835509054853034
6,2021,07,07,14,N,Y,0,individual7xindividual1,6,1.2258440141805291,-2.0082446141259886,2.352815330039371,-58.59829352715925,69.71308924545579,1.1686477265839876,0.42059396143363553
