,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X,Y,Heading,Speed,TB_Frequency,Fish_Length
0,2021,07,07,14,N,Y,0,individual1,0,,112.12826315789474,,,2.5,2.5
1,2021,07,07,14,N,Y,0,individual1,1,699.8360526315789,117.07568421052632,-166.17137636503531,0.4170819528404179,4.07357679914071,4.07357679914071
2,2021,07,07,14,N,Y,0,individual1,2,748.5484210526316,,,,1.2244897959183672,1.2244897959183672
3,2021,07,07,14,N,Y,0,individual1,3,751.8748947368422,115.54547368421053,-168.9609462386259,1.0904394059862514,1.2244897959183672,1.2244897959183672
4,2021,07,07,14,N,Y,0,individual1,4,700.535105263158,119.70094736842104,146.78111936028114,0.86523813712306,10.195488721804512,10.195488721804512
5,2021,07,07,14,N,Y,0,individual1,5,656.8543684210526,133.8813684210526,-168.57067033050313,0.6066093160858088,1.7142857142857142,1.7142857142857142
6,2021,07,07,14,N,Y,0,individual1,6,622.1645789473685,130.9502105263158,177.57981947708214,0.6333571086426883,2.1203007518796992,2.1203007518796992
7,2021,07,07,14,N,Y,0,individual1,7,587.5514736842106,143.3774736842105,148.82924760427647,0.7591039606297967,3.425101214574898,3.425101214574898
8,2021,07,07,14,N,Y,0,individual1,8,,,,,3.5222672064777325,3.5222672064777325
9,2021,07,07,14,N,Y,0,individual1,9,492.4627368389294,167.30828948479976,175.696191285771,1.0562645549007885,2.677345537757437,2.677345537757437
10,2021,07,07,14,N,Y,0,individual1,10,447.61894736842106,207.74926315789472,123.543777430955,1.5458228369536564,2.285060477280157,2.285060477280157
11,2021,07,07,14,N,Y,0,individual1,11,394.68463157894735,264.4724210526316,134.199046384759,1.177360411632393,1.0714285714285716,1.0714285714285716
12,2021,07,07,14,N,Y,0,individual1,12,,304.23305263157897,,,1.0714285714285716,1.0714285714285716
13,2021,07,07,14,N,Y,0,individual1,13,,342.25842105263155,,,1.0714285714285716,1.0714285714285716
0,2021,07,07,14,N,Y,0,individual2,0,1789.3263684210526,417.533947368421,-13.167777495657129,0.6250731269172172,7.244582043343653,7.244582043343653
1,2021,07,07,14,N,Y,0,individual2,1,1821.7900526315789,408.1655263157895,-19.798224828572206,0.5854478018023036,4.439628482972136,4.439628482972136
2,2021,07,07,14,N,Y,0,individual2,2,1850.7752631578949,387.4438421052632,-51.83983949818063,1.2054804559490357,3.2440191387559807,3.2440191387559807
3,2021,07,07,14,N,Y,0,individual2,3,1876.6196842105262,301.02226315789477,-59.9744398777079,1.561621769177781,1.1653375863902176,1.1653375863902176
4,2021,07,07,14,N,Y,0,individual2,4,,,,,0.4444444444444445,0.4444444444444445
5,2021,07,07,14,N,Y,0,individual2,5,,,,,0.4444444444444445,0.4444444444444445
6,2021,07,07,14,N,Y,0,individual2,6,,,,,0.4444444444444445,0.4444444444444445
7,2021,07,07,14,N,Y,0,individual2,7,,,,,0.4444444444444445,0.4444444444444445
8,2021,07,07,14,N,Y,0,individual2,8,,,,,0.4444444444444445,0.4444444444444445
9,2021,07,07,14,N,Y,0,individual2,9,,,,,0.4444444444444445,0.4444444444444445
10,2021,07,07,14,N,Y,0,individual2,10,,,,,0.8682490540075678,0.8682490540075678
11,2021,07,07,14,N,Y,0,individual2,11,1724.2465789473686,313.62689473684213,100.21477298380115,1.1645504615114677,1.1764705882352942,1.1764705882352942
12,2021,07,07,14,N,Y,0,individual2,12,1741.854,377.107,50.83494360996607,1.7037603468639035,1.1764705882352942,1.1764705882352942
13,2021,07,07,14,N,Y,0,individual2,13,1815.145947368421,434.6213684210526,45.78749689622285,1.3511855309140413,5.004221784407543,5.004221784407543
0,2021,07,07,14,N,Y,0,individual3,0,363.12105263157895,374.9678947368421,154.5028473449764,0.834377518009081,2.5,2.5
