,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X,Y,Z,Yaw Heading,Pitch Heading,Speed,TB_Frequency,Fish_Length
0,2021,03,25,01,N,N,0,individual1,0,0.0740980419701698,-0.09085321604359377,0.060596164694727964,-150.90019904945095,143.10138484731658,5.330995624452329,1.9354838709677422,1.9354838709677422
1,2021,03,25,01,N,N,0,individual1,1,0.027498434003863127,-0.09006003701617787,0.01962959893165428,-179.14823073330183,130.04527429170432,5.430594245276694,1.8041283173979092,1.8041283173979092
2,2021,03,25,01,N,N,0,individual1,2,-0.011839063924125382,-0.08571932288016312,-0.004468723369333394,174.38603561648216,125.98041198973992,5.70157018427548,1.5789473684210524,1.5789473684210524
3,2021,03,25,01,N,N,0,individual1,3,-0.041452987518921694,-0.07811574086961842,-0.012802231618438081,165.99510219725624,105.18187589050021,4.402175584747028,2.225300092336104,2.225300092336104
4,2021,03,25,01,N,N,0,individual1,4,-0.07242871144687978,-0.07090501733242642,-0.03868931323840628,165.46988826336857,120.95940536227907,3.5275889405321594,3.0781499202551834,3.0781499202551834
5,2021,03,25,01,N,N,0,individual1,5,-0.09909229302207763,-0.06437235955273594,-0.056688489318024324,163.59837379873326,113.6182096728151,3.047604553451489,2.8867623604465713,2.8867623604465713
6,2021,03,25,01,N,N,0,individual1,6,-0.12483084433159296,-0.05876714511511976,-0.07522392821031022,163.8101311397365,107.24159809808613,4.287029961000518,2.7927927927927927,2.7927927927927927
7,2021,03,25,01,N,N,0,individual1,7,-0.15910973791173325,-0.05280269965982326,-0.10618041588782305,158.49836343103848,68.78013803617444,5.2098892257695475,1.6216216216216217,1.6216216216216217
8,2021,03,25,01,N,N,0,individual1,8,-0.19534316923225062,-0.04627200472840282,-0.12956819431413721,150.30214180468505,36.39272728475537,5.604721582825531,2.252252252252253,2.252252252252253
9,2021,03,25,01,N,N,0,individual1,9,-0.23910802091478983,-0.046076597615124344,-0.15706699915044514,174.48914470673105,76.64382727572979,3.146978827002144,3.0781499202551834,3.0781499202551834
10,2021,03,25,01,N,N,0,individual1,10,-0.22983035339625402,-0.025161301681290063,-0.06616773097490704,73.37494957162585,37.74098888456624,12.225447220853203,3.0622009569377986,3.0622009569377986
11,2021,03,25,01,N,N,0,individual1,11,-0.20040717732129187,0.01640079220324834,0.006265906780012979,53.778439034085785,49.4090534637669,11.320133371934036,3.8815789473684212,3.8815789473684212
12,2021,03,25,01,N,N,0,individual1,12,,,,,,,3.029176201372998,3.029176201372998
13,2021,03,25,01,N,N,0,individual1,13,,,,,,,2.608695652173913,2.608695652173913
0,2021,03,25,01,N,N,0,individual2,0,-0.04392640197493239,0.08479114288577443,-0.22339455608114175,162.1304813695126,48.16906886710794,7.745292690755423,6.6028708133971294,6.6028708133971294
1,2021,03,25,01,N,N,0,individual2,1,-0.07266638616533498,0.0932197812844948,-0.2369855374172384,162.0674580131263,48.569288233814284,9.329705305778978,9.186602870813397,9.186602870813397
2,2021,03,25,01,N,N,0,individual2,2,-0.09925601086341436,0.0997724955299545,-0.23820127646041364,167.43540056378768,66.2275493736483,4.749805142580735,4.7368421052631575,4.7368421052631575
3,2021,03,25,01,N,N,0,individual2,3,-0.11669032949412006,0.10111873462516101,-0.21734964367712267,175.80050969167527,61.518288050327165,6.201631769265969,4.7368421052631575,4.7368421052631575
4,2021,03,25,01,N,N,0,individual2,4,-0.14835008720295703,0.092675721689899,-0.2409413574700596,-160.1964205558658,83.63421986318042,10.485874280922216,5.639097744360903,5.639097744360903
5,2021,03,25,01,N,N,0,individual2,5,-0.15873517191488623,0.07060193645785484,-0.17559565768358945,-104.67419707329601,44.46101847401241,10.183898926561712,4.010025062656641,4.010025062656641
6,2021,03,25,01,N,N,0,individual2,6,-0.10885298491305245,0.03211669980777274,0.03573910458719195,-44.88706711398561,25.35893313798876,34.92526730595775,3.3771929824561404,3.3771929824561404
7,2021,03,25,01,N,N,0,individual2,7,,,,,,,3.9777327935222666,3.9777327935222666
8,2021,03,25,01,N,N,0,individual2,8,,,,,,,5.587044534412955,5.587044534412955
9,2021,03,25,01,N,N,0,individual2,9,-0.05276286977972603,-0.04027650451829861,0.12237866118974945,-41.44751639757438,30.524376588033345,4.2129788460809445,6.404122193595878,6.404122193595878
10,2021,03,25,01,N,N,0,individual2,10,,,,,,,3.0930699181972527,3.0930699181972527
11,2021,03,25,01,N,N,0,individual2,11,0.0862533597499539,-0.020230155815521476,0.5981238444976346,6.147324026385531,19.16332482162536,34.30023767581839,0.9677419354838711,0.9677419354838711
12,2021,03,25,01,N,N,0,individual2,12,0.1141123522050839,-0.00687863042359819,0.682979711208692,15.896298927475609,19.505893876973026,4.94952692468937,0.9677419354838711,0.9677419354838711
13,2021,03,25,01,N,N,0,individual2,13,0.15641940218082392,-0.007930272799313576,0.791647909824155,1.5709823841523392,20.08807680113145,4.6128691366480306,0.9677419354838711,0.9677419354838711
0,2021,03,25,01,N,N,0,individual3,0,-0.16416020374547546,0.06580858899918303,-0.3376184839166386,-165.73128848281684,105.20277488962633,7.762867446875506,11.052631578947368,11.052631578947368
1,2021,03,25,01,N,N,0,individual3,1,,,,,,,2.5569520816967795,2.5569520816967795
2,2021,03,25,01,N,N,0,individual3,2,,,,,,,0.8955223880597017,0.8955223880597017
3,2021,03,25,01,N,N,0,individual3,3,,,,,,,0.8955223880597017,0.8955223880597017
4,2021,03,25,01,N,N,0,individual3,4,-0.25619251510967334,0.09720073858131002,-0.3855683103236668,149.70890895481455,81.68880790167121,6.36561742450002,0.8955223880597017,0.8955223880597017
5,2021,03,25,01,N,N,0,individual3,5,-0.27928499949823543,0.08871325696072699,-0.39253368283664275,-164.39497392805052,49.501934379381744,7.694256844455623,3.2151273706654693,3.2151273706654693
6,2021,03,25,01,N,N,0,individual3,6,,,,,,,2.3308270676691727,2.3308270676691727
7,2021,03,25,01,N,N,0,individual3,7,,,,,,,2.910216718266254,2.910216718266254
8,2021,03,25,01,N,N,0,individual3,8,-0.24875668425181563,0.02078650459106695,-0.22873619570710313,-44.90434813260759,43.25113138853158,16.557773218236466,1.8495086821914122,1.8495086821914122
9,2021,03,25,01,N,N,0,individual3,9,-0.1845860737158894,0.025112976340682578,-0.17946809497290445,12.25476729251044,102.88112490898438,12.313780671626096,0.8695652173913043,0.8695652173913043
10,2021,03,25,01,N,N,0,individual3,10,-0.1509702831348595,0.032180089610875734,-0.2072673776259182,9.94835239745815,112.16958519953351,4.980689606985307,0.8695652173913043,0.8695652173913043
11,2021,03,25,01,N,N,0,individual3,11,,,,,,,0.8695652173913043,0.8695652173913043
12,2021,03,25,01,N,N,0,individual3,12,,,,,,,2.8571428571428568,2.8571428571428568
13,2021,03,25,01,N,N,0,individual3,13,-0.046002569011389105,0.04573273070792685,-0.1817848094915436,6.208746751140223,90.90240072610015,9.296659683259135,7.563909774436091,7.563909774436091
0,2021,03,25,01,N,N,0,individual4,0,-0.164416048093256,0.11628280015233827,-0.28902612083615664,-124.72685683105954,48.90528761603394,10.905245018098674,12.963988919667587,12.963988919667587
