Year,Month,Day,Trial,Ablation,Darkness,Singles,Flow,Frame,Fish,Turn_Dir,Fish_Left,Fish_Right,Wall_Dist
2021,10,06,34,Y,N,N,2,118,individual1,0,5,2,0.48791142677461513
2021,10,06,34,Y,N,N,2,125,individual2,0,0,7,0.18728722774371578
2024,01,19,06,Y,Y,N,2,159,individual1,0,1,6,0.15547441881653143
2024,01,19,06,Y,Y,N,2,165,individual3,1,3,4,0.2127746099732729
2024,01,19,06,Y,Y,N,2,494,individual4,1,4,3,0.15762178932938883
2024,01,19,06,Y,Y,N,2,579,individual4,0,1,6,0.2708284511386412
2024,01,19,06,Y,Y,N,2,486,individual5,0,0,7,0.29486245667490446
2024,01,19,06,Y,Y,N,2,190,individual6,1,6,1,0.11234767605027776
2024,01,19,06,Y,Y,N,2,374,individual6,1,5,2,0.27435162105331484
2024,01,19,06,Y,Y,N,2,103,individual7,1,0,7,0.27021471660281754
2024,01,19,06,Y,Y,N,2,535,individual7,1,2,5,0.2715183861649603
2024,01,19,06,Y,Y,N,2,478,individual8,0,3,4,0.1875235750240838
2021,08,03,11,Y,N,N,2,19,individual1,1,3,3,0.1755189961085303
2021,08,03,11,Y,N,N,2,59,individual1,1,5,2,0.14995698522432854
2021,08,03,11,Y,N,N,2,99,individual3,0,0,7,0.2576546539727736
2021,08,03,11,Y,N,N,2,59,individual4,0,6,1,0.15274186085693311
2021,08,03,11,Y,N,N,2,157,individual4,1,7,0,0.11047557672390844
2021,08,03,11,Y,N,N,2,185,individual4,1,6,0,0.15527090968456067
2021,08,03,11,Y,N,N,2,242,individual4,1,5,2,0.52638034736573
2021,08,03,11,Y,N,N,2,72,individual5,1,1,6,0.2583268436708148
2021,08,03,11,Y,N,N,2,210,individual6,1,0,6,0.18572751357658385
2021,08,03,11,Y,N,N,2,285,individual6,0,0,7,0.18165770218545615
2021,08,03,11,Y,N,N,2,90,individual7,0,3,4,0.30387555007184514
2021,08,03,11,Y,N,N,2,123,individual7,0,2,5,0.20310206957744606
2021,08,03,11,Y,N,N,2,147,individual7,0,4,3,0.1758729412962259
2021,08,03,11,Y,N,N,2,183,individual7,1,1,5,0.18749956670426549
2021,08,03,11,Y,N,N,2,199,individual7,1,2,4,0.21638766561934913
2021,08,03,11,Y,N,N,2,84,individual8,0,7,0,0.44591345384329645
2021,07,07,19,N,Y,N,0,19,individual1,0,0,6,0.30961747447429266
2021,07,07,19,N,Y,N,0,292,individual1,0,1,6,0.49272296072985455
2021,07,07,19,N,Y,N,0,347,individual1,0,0,5,0.19794557916865083
2021,07,07,19,N,Y,N,0,47,individual2,0,4,2,0.11177588128813512
2021,07,07,19,N,Y,N,0,86,individual2,0,5,0,0.3594367067568125
2021,07,07,19,N,Y,N,0,217,individual2,0,0,7,0.16595843464597698
2021,07,07,19,N,Y,N,0,226,individual2,0,3,3,0.1899671842640786
2021,07,07,19,N,Y,N,0,253,individual2,1,6,1,0.2938998979049246
2021,07,07,19,N,Y,N,0,65,individual3,0,2,3,0.24562440324189513
2021,07,07,19,N,Y,N,0,109,individual3,0,3,2,0.2827583736672285
2021,07,07,19,N,Y,N,0,269,individual3,1,2,5,0.1004319939846951
2021,07,07,19,N,Y,N,0,299,individual3,0,2,5,0.1130940921569118
2021,07,07,19,N,Y,N,0,329,individual3,1,3,4,0.09870015132344667
2021,07,07,19,N,Y,N,0,49,individual4,1,2,3,0.3243695232612254
2021,07,07,19,N,Y,N,0,22,individual5,0,0,6,0.1972109331737039
2021,07,07,19,N,Y,N,0,174,individual5,1,0,7,0.07069184449309955
2021,07,07,19,N,Y,N,0,222,individual5,0,0,7,0.0895081383089827
2021,07,07,19,N,Y,N,0,260,individual5,1,7,0,0.1550537248367307
2021,07,07,19,N,Y,N,0,24,individual6,1,5,1,0.09777098801971403
2021,07,07,19,N,Y,N,0,49,individual6,1,4,1,0.14599431496743484
2021,07,07,19,N,Y,N,0,78,individual6,1,4,2,0.1468248006932987
2021,07,07,19,N,Y,N,0,273,individual6,0,1,6,0.4478163693072167
2021,07,07,19,N,Y,N,0,336,individual8,0,3,4,0.46207710168220867
2023,12,05,17,Y,Y,N,0,236,individual1,0,2,5,0.5530856014142848
2023,12,05,17,Y,Y,N,0,78,individual2,0,2,5,0.5898734806101198
2023,12,05,17,Y,Y,N,0,110,individual2,0,0,7,0.2769201240846751
2023,12,05,17,Y,Y,N,0,286,individual2,0,0,7,0.31502593636402026
2023,12,05,17,Y,Y,N,0,429,individual2,0,1,6,0.33208514101112624
2023,12,05,17,Y,Y,N,0,45,individual3,0,0,7,0.773309729041608
2023,12,05,17,Y,Y,N,0,88,individual3,0,0,7,0.2865187294015087
2023,12,05,17,Y,Y,N,0,152,individual3,0,5,2,0.23286426023876275
2023,12,05,17,Y,Y,N,0,340,individual3,1,6,1,0.028743579051069394
2023,12,05,17,Y,Y,N,0,372,individual3,1,3,3,0.31942306742083604
2023,12,05,17,Y,Y,N,0,35,individual4,0,1,6,0.3057139629144497
2023,12,05,17,Y,Y,N,0,223,individual4,0,0,7,0.2974871297654267
2023,12,05,17,Y,Y,N,0,39,individual5,0,2,5,0.25686122488063967
2023,12,05,17,Y,Y,N,0,216,individual5,1,3,4,0.1095847848718474
2023,12,05,17,Y,Y,N,0,318,individual5,1,7,0,0.16376814951120874
2023,12,05,17,Y,Y,N,0,413,individual5,1,7,0,0.08421342172489991
2023,12,05,17,Y,Y,N,0,107,individual6,0,2,5,0.5414325636981543
2023,12,05,17,Y,Y,N,0,147,individual6,0,4,3,0.2398315543552506
2023,12,05,17,Y,Y,N,0,354,individual6,0,1,6,0.5305860222171745
2023,12,05,17,Y,Y,N,0,388,individual6,0,1,5,0.3173118669549754
2023,12,05,17,Y,Y,N,0,84,individual7,0,0,7,0.5335970010155299
2023,12,05,17,Y,Y,N,0,181,individual7,0,2,5,0.24878348336219513
2023,12,05,17,Y,Y,N,0,429,individual7,0,0,7,0.638974734531099
2023,12,05,17,Y,Y,N,0,121,individual8,0,0,7,0.3093563860286355
2023,12,05,17,Y,Y,N,0,269,individual8,1,2,5,0.19988616981668444
2023,12,05,17,Y,Y,N,0,356,individual8,1,7,0,0.06924162619192357
2021,08,03,08,Y,N,N,0,76,individual1,0,0,7,0.040613136559299844
2021,08,03,08,Y,N,N,0,95,individual3,0,2,5,0.628528154187209
2021,08,03,08,Y,N,N,0,163,individual4,1,4,2,0.1068752725075704
2021,08,03,08,Y,N,N,0,198,individual4,0,4,3,0.19532678804411915
2021,08,03,08,Y,N,N,0,226,individual4,0,3,3,0.19285008600145967
2021,08,03,08,Y,N,N,0,253,individual4,1,5,1,0.10580636090051393
2021,08,03,08,Y,N,N,0,58,individual5,1,1,5,0.10026934436973886
2021,08,03,08,Y,N,N,0,33,individual6,0,0,6,0.3727062272790797
2021,08,03,08,Y,N,N,0,202,individual7,1,6,1,0.06439674084153808
2021,07,07,27,N,Y,N,2,92,individual2,0,0,6,0.20525443387932632
2021,07,07,27,N,Y,N,2,36,individual4,1,4,1,0.15894788756463332
2021,07,07,27,N,Y,N,2,44,individual5,1,6,0,0.15758120825517102
2021,07,07,27,N,Y,N,2,73,individual5,0,6,0,0.21358717851483122
2021,07,07,27,N,Y,N,2,19,individual6,1,3,3,0.10279117611806873
2021,07,07,27,N,Y,N,2,231,individual6,1,6,0,0.23160405123885236
2021,07,07,27,N,Y,N,2,99,individual8,0,1,5,0.17681466199421048
2021,10,08,27,N,Y,N,0,163,individual1,1,7,0,0.2133790043202566
2021,10,08,27,N,Y,N,0,68,individual4,1,6,1,0.09696316589713547
2021,10,08,27,N,Y,N,0,34,individual5,1,4,1,0.2324354547074485
2021,10,08,27,N,Y,N,0,83,individual6,1,3,2,0.1629026159239249
2021,10,08,27,N,Y,N,0,203,individual7,0,3,4,0.5052991918226362
2021,10,08,27,N,Y,N,0,289,individual8,1,3,3,0.09283530988318547
2020,07,28,03,N,N,N,2,187,individual1,0,3,4,0.20632942808163526
2020,07,28,03,N,N,N,2,40,individual2,0,3,3,0.1554524388219114
2020,07,28,03,N,N,N,2,101,individual2,0,0,7,0.14596990891435657
2020,07,28,03,N,N,N,2,124,individual2,0,2,5,0.232541782292887
2020,07,28,03,N,N,N,2,241,individual2,1,2,4,0.07809040730790294
2020,07,28,03,N,N,N,2,66,individual3,0,2,4,0.16930235939020147
2020,07,28,03,N,N,N,2,64,individual4,0,4,2,0.12934876657379263
2020,07,28,03,N,N,N,2,67,individual5,0,0,6,0.3034566228505327
2020,07,28,03,N,N,N,2,258,individual6,0,1,5,0.08648879303083684
2020,07,28,03,N,N,N,2,79,individual7,0,5,2,0.10949893229903014
2020,07,28,03,N,N,N,2,21,individual8,1,0,7,0.3199791546160807
2020,07,28,03,N,N,N,2,47,individual8,0,0,6,0.22780107285131415
2020,07,28,03,N,N,N,2,186,individual8,0,1,6,0.1121700168284276
2021,07,07,16,N,Y,N,2,202,individual3,0,6,0,0.2555035625461227
2021,07,07,16,N,Y,N,2,119,individual5,1,0,6,0.25838039428362275
2021,07,07,16,N,Y,N,2,170,individual5,0,0,6,0.4933886255484752
2021,07,07,16,N,Y,N,2,263,individual5,1,1,6,0.1255339369595125
2021,07,07,16,N,Y,N,2,19,individual7,1,7,0,0.060290887501462206
2021,07,07,16,N,Y,N,2,36,individual7,1,4,2,0.06226702577662348
2021,07,07,16,N,Y,N,2,79,individual7,1,5,2,0.1906453383662298
2021,07,07,16,N,Y,N,2,256,individual7,0,0,6,0.20983412863717957
2021,07,07,16,N,Y,N,2,82,individual8,1,7,0,0.024864725934653505
2021,07,07,17,N,Y,N,2,34,individual1,0,2,4,0.1986757791237025
2021,07,07,17,N,Y,N,2,170,individual1,1,1,6,0.2007514270892087
2021,07,07,17,N,Y,N,2,177,individual2,0,4,3,0.46085208213625944
2021,07,07,17,N,Y,N,2,337,individual3,1,0,6,0.12844383808014975
2021,07,07,17,N,Y,N,2,47,individual4,1,6,1,0.13568276092126058
2021,07,07,17,N,Y,N,2,19,individual6,0,0,6,0.09750912663370782
2021,07,07,17,N,Y,N,2,205,individual6,1,2,5,0.38581657857176277
2021,07,07,17,N,Y,N,2,61,individual7,1,4,3,0.10542598385789533
2021,07,07,17,N,Y,N,2,98,individual7,1,3,2,0.28735412106352837
2021,07,07,17,N,Y,N,2,245,individual7,0,4,1,0.08116986108621334
2021,07,07,17,N,Y,N,2,207,individual8,1,7,0,0.21911771870540284
2021,07,07,17,N,Y,N,2,242,individual8,1,5,0,0.01271266169374259
2021,07,07,14,N,Y,N,0,65,individual1,1,2,5,0.07999827896054458
2021,07,07,14,N,Y,N,0,47,individual2,1,6,0,0.2683350695496757
2021,07,07,14,N,Y,N,0,234,individual2,1,0,7,0.5910675572418519
2021,07,07,14,N,Y,N,0,21,individual3,1,6,0,0.07774956605239265
2021,07,07,14,N,Y,N,0,67,individual3,1,7,0,0.04005885956237536
2021,07,07,14,N,Y,N,0,46,individual4,0,2,5,0.17148883580494345
2021,07,07,14,N,Y,N,0,38,individual6,0,2,5,0.3414940731496011
2021,07,07,14,N,Y,N,0,180,individual6,1,4,0,0.38537680693375326
2021,07,07,14,N,Y,N,0,59,individual7,1,4,3,0.03302970623259058
2021,07,07,14,N,Y,N,0,50,individual8,0,1,6,0.19786613578217802
2021,07,07,14,N,Y,N,0,91,individual8,0,3,3,0.5319407401424153
2021,10,08,21,N,Y,N,2,78,individual2,1,0,6,0.13184915554766274
2021,10,08,21,N,Y,N,2,124,individual2,0,2,5,0.1676376764259207
2021,10,08,21,N,Y,N,2,212,individual2,1,0,7,0.4511462669816742
2021,10,08,21,N,Y,N,2,244,individual2,1,0,7,0.48546736271861185
2021,10,08,21,N,Y,N,2,62,individual3,0,0,5,0.6166992202422222
2021,10,08,21,N,Y,N,2,102,individual3,0,0,6,0.24719633519317097
2021,10,08,21,N,Y,N,2,199,individual3,0,4,3,0.21571895258664361
2021,10,08,21,N,Y,N,2,123,individual5,1,4,3,0.12174538645753911
2021,10,08,21,N,Y,N,2,262,individual5,0,2,5,0.1763595936575953
2021,10,08,21,N,Y,N,2,129,individual7,0,0,6,0.3357199762149324
2021,10,08,21,N,Y,N,2,206,individual7,0,6,1,0.23335899910398378
2024,01,19,03,Y,Y,N,2,224,individual4,0,2,5,0.2359477194094593
2024,01,19,03,Y,Y,N,2,134,individual5,1,6,1,0.04746776095425015
2024,01,19,03,Y,Y,N,2,403,individual6,0,1,6,0.12688586914093183
2024,01,19,03,Y,Y,N,2,359,individual7,1,0,7,0.2553334758842459
2024,01,19,03,Y,Y,N,2,172,individual8,0,4,3,0.33134230578220436
2020,07,28,11,N,N,N,0,23,individual1,1,6,1,0.2187655478260098
2020,07,28,11,N,N,N,0,54,individual1,1,6,0,0.11642815799859096
2020,07,28,11,N,N,N,0,188,individual1,0,3,3,0.16951020859193316
2020,07,28,11,N,N,N,0,235,individual1,0,4,2,0.37110987834579556
2020,07,28,11,N,N,N,0,266,individual1,1,5,1,0.38012136062108254
2020,07,28,11,N,N,N,0,47,individual2,0,1,6,0.47466664825314026
2020,07,28,11,N,N,N,0,187,individual2,1,5,1,0.08793026143921442
2020,07,28,11,N,N,N,0,19,individual3,1,7,0,0.18933465055725415
2020,07,28,11,N,N,N,0,50,individual3,1,7,0,0.18861025638338005
2020,07,28,11,N,N,N,0,98,individual3,1,7,0,0.13294608292908694
2020,07,28,11,N,N,N,0,91,individual4,1,7,0,0.12773308265547498
2020,07,28,11,N,N,N,0,129,individual4,1,7,0,0.246560689567147
2020,07,28,11,N,N,N,0,67,individual5,1,6,1,0.11448819878355974
2020,07,28,11,N,N,N,0,102,individual5,1,3,4,0.41597530030271335
2020,07,28,11,N,N,N,0,201,individual5,1,6,0,0.062465336890756805
2020,07,28,11,N,N,N,0,235,individual5,1,1,5,0.21877912838930605
2020,07,28,11,N,N,N,0,269,individual5,0,2,4,0.021795066716055623
2020,07,28,11,N,N,N,0,67,individual7,1,6,1,0.2219216125529167
2020,07,28,11,N,N,N,0,239,individual7,0,1,5,0.20034954303146882
2021,03,25,01,N,N,N,0,20,individual1,1,7,0,0.08086695853567044
2021,03,25,01,N,N,N,0,203,individual1,1,6,0,0.33762804042705097
2021,03,25,01,N,N,N,0,118,individual2,0,0,6,0.42463144568195627
2021,03,25,01,N,N,N,0,212,individual2,0,3,3,0.3244820866748318
2021,03,25,01,N,N,N,0,248,individual2,1,3,3,0.2591990361073099
2021,03,25,01,N,N,N,0,165,individual3,0,1,5,0.22793154868548918
2021,03,25,01,N,N,N,0,49,individual4,0,1,4,0.34106899854861933
2021,03,25,01,N,N,N,0,223,individual4,0,0,6,0.4699644228065015
2021,03,25,01,N,N,N,0,108,individual5,1,6,1,0.19629204451082297
2021,03,25,01,N,N,N,0,102,individual8,1,6,1,0.3226000768804983
2021,03,25,01,N,N,N,0,193,individual8,1,2,4,0.21038591825032557
2021,03,25,01,N,N,N,0,225,individual8,0,1,6,0.20940264057632232
2021,10,06,36,Y,N,N,2,83,individual1,0,6,1,0.36668930088605467
2021,10,06,36,Y,N,N,2,114,individual2,1,3,4,0.12941886451842405
2021,10,06,36,Y,N,N,2,187,individual2,0,0,7,0.17831399166521034
2021,10,06,36,Y,N,N,2,55,individual7,0,6,1,0.06387904706407363
2021,10,06,36,Y,N,N,2,80,individual7,1,6,1,0.043047344307870584
2020,07,28,10,N,N,N,0,73,individual1,1,3,3,0.33711196338909044
2020,07,28,10,N,N,N,0,109,individual1,1,6,0,0.1381508879719394
2020,07,28,10,N,N,N,0,263,individual2,0,1,6,0.28090872096215364
2020,07,28,10,N,N,N,0,19,individual3,0,1,5,0.3492719134508763
2020,07,28,10,N,N,N,0,36,individual4,1,4,2,0.13552778663219783
2020,07,28,10,N,N,N,0,67,individual4,0,6,0,0.35487489301822794
2020,07,28,10,N,N,N,0,225,individual4,1,5,0,0.006281424713024238
2020,07,28,10,N,N,N,0,259,individual4,1,6,0,0.02205865974332702
2020,07,28,10,N,N,N,0,59,individual5,1,6,0,0.2472133505600889
2020,07,28,10,N,N,N,0,94,individual5,1,6,0,0.15610488802865333
2020,07,28,10,N,N,N,0,283,individual5,1,5,2,0.07678451384894212
2020,07,28,10,N,N,N,0,35,individual6,0,0,6,0.255364474617301
2020,07,28,10,N,N,N,0,96,individual6,0,3,3,0.17981444526266252
2020,07,28,10,N,N,N,0,116,individual6,0,4,2,0.19301588441500686
2020,07,28,10,N,N,N,0,145,individual6,1,4,2,0.32194901944095117
2020,07,28,10,N,N,N,0,255,individual6,1,6,1,0.4078631642303561
2020,07,28,10,N,N,N,0,68,individual7,0,1,5,0.5496834020574354
2020,07,28,10,N,N,N,0,196,individual8,1,2,3,0.0363909762913461
2020,07,28,10,N,N,N,0,231,individual8,1,6,1,0.041782000049763734
