Year,Month,Day,Trial,Ablation,Darkness,Singles,Flow,Frame,Fish,Turn_Dir,Fish_Left,Fish_Right,Wall_Dist
2022,06,16,03,Y,N,N,0,94,individual3,1,3,4,419.6272974168199
2022,06,16,03,Y,N,N,0,131,individual3,1,5,2,352.5245012655837
2022,06,16,03,Y,N,N,0,127,individual6,0,1,6,1208.4883192923119
2022,06,16,03,Y,N,N,0,164,individual6,1,5,2,308.1963500936708
2022,06,16,03,Y,N,N,0,201,individual6,1,5,2,327.58064977085235
2022,06,16,03,Y,N,N,0,62,individual7,0,2,5,487.3561848313619
2022,06,16,03,Y,N,N,0,11,individual8,1,6,1,353.0200068204746
2022,06,16,03,Y,N,N,0,169,individual8,1,6,1,269.19171154093465
2022,06,10,03,N,N,N,2,169,individual1,0,7,0,161.77256232430116
2022,06,10,03,N,N,N,2,229,individual1,1,7,0,108.48388590337511
2022,06,10,03,N,N,N,2,17,individual2,1,6,1,226.05243366248706
2022,06,10,03,N,N,N,2,50,individual2,1,6,1,337.4231286018586
2022,06,10,03,N,N,N,2,93,individual2,0,4,3,781.3468035830642
2022,06,10,03,N,N,N,2,155,individual2,0,6,1,492.58978795982495
2022,06,10,03,N,N,N,2,213,individual2,0,2,5,1551.5646597547004
2022,06,10,03,N,N,N,2,143,individual3,0,2,5,912.1305889450063
2022,06,10,03,N,N,N,2,88,individual4,1,3,4,1175.0633346067982
2022,06,10,03,N,N,N,2,22,individual5,1,2,5,806.0387799534976
2022,06,10,03,N,N,N,2,82,individual5,0,6,1,175.83429304832194
2022,06,10,03,N,N,N,2,166,individual5,0,1,6,896.8231603114617
2022,06,10,03,N,N,N,2,81,individual6,0,0,7,2110.847634445034
2022,06,10,03,N,N,N,2,178,individual7,1,4,3,630.5773480766862
2022,06,10,03,N,N,N,2,101,individual8,0,6,1,887.1491636314697
2022,06,10,03,N,N,N,2,177,individual8,0,2,5,711.3777152901707
2022,06,10,03,N,N,N,2,230,individual8,1,2,5,1499.774625461058
2022,06,10,09,N,N,N,0,202,individual1,1,1,6,482.6082620638753
2022,06,10,09,N,N,N,0,99,individual2,0,1,6,529.8091936561692
