,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X_Distance,Y_Distance,Distance,Angle,Heading_Diff,Fish1_Speed,Fish2_Speed,Speed_Diff,Spatial_Auto,Sync
0,2021,07,07,14,N,Y,0,individual2xindividual1,0,,-1.5824128715571308,,,,0.6250731269172172,,,,0.41164592504145875
0,2021,07,07,14,N,Y,0,individual1xindividual3,0,,1.361863376056722,,,,,0.834377518009081,,,0.003041292163465331
1,2021,07,07,14,N,Y,0,individual1xindividual3,1,1.8685612217071175,1.6548101990728115,2.4959803353037446,41.41342155062225,98.27468884772047,0.4170819528404179,1.8905367623469136,-1.4734548095064957,-0.11298928893729429,0.737642445306175
2,2021,07,07,14,N,Y,0,individual1xindividual3,2,2.2963185164985,,,,,,1.2078705096350535,,,0.9999999999999998
3,2021,07,07,14,N,Y,0,individual1xindividual3,3,2.353185710389965,2.3973886010362695,3.359308722335916,45.57915856652477,157.42215420902443,1.0904394059862514,1.4462194861648705,-0.35578008017861906,-0.3286686282737438,0.9999999999999998
4,2021,07,07,14,N,Y,0,individual1xindividual3,4,1.9478429233706027,2.7690059994545955,3.385481690858847,54.87724944889832,137.59940480275978,0.86523813712306,1.1293939339663681,-0.2641557968433084,,0.8202220781678241
5,2021,07,07,14,N,Y,0,individual1xindividual3,5,1.6885819470957184,2.9722287973820563,3.4183991891007626,60.38250076864258,119.6170637782593,0.6066093160858088,0.7511282308298165,-0.14451891474400785,,0.6584219485188658
6,2021,07,07,14,N,Y,0,individual1xindividual3,6,1.4135320425415872,,,,,0.6333571086426883,,,,0.6584219485188658
0,2021,07,07,14,N,Y,0,individual1xindividual4,0,,1.1055399509135533,,,,,1.3791514384402037,,,0.6206928612285744
1,2021,07,07,14,N,Y,0,individual1xindividual4,1,-3.8013905099536403,1.023222252522498,3.936693230012063,164.92544352221273,44.13333666256028,0.4170819528404179,1.8002177187472457,-1.3831357659068277,0.45531041096501745,0.8542090590978674
2,2021,07,07,14,N,Y,0,individual1xindividual4,2,-2.9110458140169078,,,,,,2.1778042367995605,,,0.9335080883136623
3,2021,07,07,14,N,Y,0,individual1xindividual4,3,-2.298202890646305,0.8535751295336788,2.4515968323387654,159.63367447523356,66.8387115477345,1.0904394059862514,1.8077385943350568,-0.7172991883488051,0.7165500210380595,0.9335080883136623
4,2021,07,07,14,N,Y,0,individual1xindividual4,4,,,,,,0.86523813712306,,,,0.8967677277562192
5,2021,07,07,14,N,Y,0,individual1xindividual4,5,-1.9932746113989637,0.5497474775020453,2.0676958106712777,164.56752624798514,10.751018072372796,0.6066093160858088,1.3468308211858508,-0.7402215051000419,,0.82062474335029
6,2021,07,07,14,N,Y,0,individual1xindividual4,6,-1.6527439323697848,0.4953266975729479,1.725372725909872,163.36487335020945,10.223292317251836,0.6333571086426883,2.057811715518662,-1.4244546068759738,0.721278908456274,0.824130192796388
0,2021,07,07,14,N,Y,0,individual1xindividual5,0,,0.680216253067903,,,,,1.422136297406002,,,0.45478997836108515
1,2021,07,07,14,N,Y,0,individual1xindividual5,1,-3.073753204254159,0.41592473411508046,3.101765972008754,172.31568318124874,25.73768012229772,0.4170819528404179,1.4005440205488568,-0.9834620677084388,0.4418383609890629,0.856523678516075
2,2021,07,07,14,N,Y,0,individual1xindividual5,2,,,,,,,,,,1.0
3,2021,07,07,14,N,Y,0,individual1xindividual5,3,-2.31269866375784,0.039739841832560685,2.3130400697731495,141.12046677486606,52.998838876060596,1.0904394059862514,1.0381501156505035,0.05228929033574802,0.6098453999472597,1.0
4,2021,07,07,14,N,Y,0,individual1xindividual5,4,-2.293135533133351,0.03649550040905372,2.2934259296669874,122.24688373746291,30.86927518173547,0.86523813712306,0.9262528295756826,-0.061014692452622546,,0.5157880765740447
5,2021,07,07,14,N,Y,0,individual1xindividual5,5,-2.258789746386692,-0.04977229342787017,2.259338044555247,-178.7362272140224,14.286901582075656,0.6066093160858088,0.8605321589577146,-0.253922842871906,,0.3413023745912308
6,2021,07,07,14,N,Y,0,individual1xindividual5,6,-2.1717720207253883,0.030905372238887358,2.1719919088336543,160.23618885030626,21.87732744716859,0.6333571086426883,1.1816549065814386,-0.5482977979387501,0.8888880173942808,0.2488041495505623
0,2021,07,07,14,N,Y,0,individual6xindividual1,0,,-1.1274147804745023,,,,0.863807813492749,,,,0.5215151141275867
