,Year,Month,Day,Trial,Abalation,Darkness,Flow,Fish,Tailbeat Num,Heading,Speed,TB_Frequency
0,2021,07,07,14,N,Y,0,individual1,0,,,2.5
1,2021,07,07,14,N,Y,0,individual1,1,-166.17137636503531,0.006951365880673632,4.07357679914071
2,2021,07,07,14,N,Y,0,individual1,2,,,1.2244897959183672
3,2021,07,07,14,N,Y,0,individual1,3,-168.9609462386259,0.01817399009977086,1.2244897959183672
4,2021,07,07,14,N,Y,0,individual1,4,146.78111936028114,0.014420635618717662,10.195488721804512
5,2021,07,07,14,N,Y,0,individual1,5,-168.57067033050313,0.010110155268096813,1.7142857142857142
6,2021,07,07,14,N,Y,0,individual1,6,177.57981947708214,0.010555951810711473,2.1203007518796992
7,2021,07,07,14,N,Y,0,individual1,7,148.82924760427647,0.012651732677163276,3.425101214574898
8,2021,07,07,14,N,Y,0,individual1,8,,,3.5222672064777325
9,2021,07,07,14,N,Y,0,individual1,9,175.696191285771,0.017604409248346477,2.677345537757437
10,2021,07,07,14,N,Y,0,individual1,10,123.543777430955,0.025763713949227607,2.285060477280157
11,2021,07,07,14,N,Y,0,individual1,11,134.199046384759,0.01962267352720655,1.0714285714285716
12,2021,07,07,14,N,Y,0,individual1,12,,,1.0714285714285716
0,2021,07,07,14,N,Y,0,individual2,0,-13.167777495657129,0.010417885448620287,5.386996904024768
1,2021,07,07,14,N,Y,0,individual2,1,-19.798224828572206,0.009757463363371728,4.660849985927387
2,2021,07,07,14,N,Y,0,individual2,2,-51.83983949818063,0.02009134093248393,2.6071238702817645
3,2021,07,07,14,N,Y,0,individual2,3,-59.9744398777079,0.026027029486296344,0.4444444444444445
4,2021,07,07,14,N,Y,0,individual2,4,,,0.4444444444444445
5,2021,07,07,14,N,Y,0,individual2,5,,,0.4444444444444445
6,2021,07,07,14,N,Y,0,individual2,6,,,0.4444444444444445
7,2021,07,07,14,N,Y,0,individual2,7,,,0.4444444444444445
8,2021,07,07,14,N,Y,0,individual2,8,,,0.4444444444444445
9,2021,07,07,14,N,Y,0,individual2,9,,,0.4444444444444445
10,2021,07,07,14,N,Y,0,individual2,10,,,1.1379428964568283
11,2021,07,07,14,N,Y,0,individual2,11,100.21477298380115,0.01940917435852446,1.1764705882352942
12,2021,07,07,14,N,Y,0,individual2,12,50.83494360996607,0.028396005781065055,2.302279763580073
0,2021,07,07,14,N,Y,0,individual3,0,154.5028473449764,0.013906291966818017,2.5
1,2021,07,07,14,N,Y,0,individual3,1,100.94154227163656,0.03150894603911523,1.7362002567394097
2,2021,07,07,14,N,Y,0,individual3,2,123.97827111800332,0.020131175160584228,1.4634146341463417
3,2021,07,07,14,N,Y,0,individual3,3,83.52897237401041,0.024103658102747845,1.185631010753593
4,2021,07,07,14,N,Y,0,individual3,4,78.13000006852923,0.018823232232772803,0.9836065573770489
5,2021,07,07,14,N,Y,0,individual3,5,78.67071448755264,0.01251880384716361,0.9836065573770489
6,2021,07,07,14,N,Y,0,individual3,6,,,2.094909404659189
7,2021,07,07,14,N,Y,0,individual3,7,31.950243175751666,0.020020431473390388,5.21120984278879
8,2021,07,07,14,N,Y,0,individual3,8,,,0.7792207792207793
9,2021,07,07,14,N,Y,0,individual3,9,,,0.7792207792207793
10,2021,07,07,14,N,Y,0,individual3,10,,,0.7792207792207793
11,2021,07,07,14,N,Y,0,individual3,11,,,1.3222711952294532
12,2021,07,07,14,N,Y,0,individual3,12,-10.562706179424676,0.015119926596210309,2.0689655172413794
0,2021,07,07,14,N,Y,0,individual4,0,-170.71937467643056,0.022985857307336727,5.0
1,2021,07,07,14,N,Y,0,individual4,1,-174.0725716732628,0.030003628645787435,5.526315789473684
2,2021,07,07,14,N,Y,0,individual4,2,-170.86136014878764,0.036296737279992664,5.488721804511279
3,2021,07,07,14,N,Y,0,individual4,3,-162.43493281026193,0.030128976572250946,4.116541353383458
4,2021,07,07,14,N,Y,0,individual4,4,,,3.4695290858725762
5,2021,07,07,14,N,Y,0,individual4,5,-171.61093847498537,0.022447180353097514,4.50415512465374
6,2021,07,07,14,N,Y,0,individual4,6,-155.32872016665758,0.034296861925311034,2.0921052631578947
7,2021,07,07,14,N,Y,0,individual4,7,-132.8222349473266,0.019037970076928833,2.310371517027864
8,2021,07,07,14,N,Y,0,individual4,8,-97.31688357916477,0.019069364081778555,2.8108196187062084
9,2021,07,07,14,N,Y,0,individual4,9,,,1.5789473684210524
0,2021,07,07,14,N,Y,0,individual5,0,-138.30451382287595,0.023702271623433364,3.2072368421052637
1,2021,07,07,14,N,Y,0,individual5,1,-144.3157454769305,0.023342400342480946,0.9375
2,2021,07,07,14,N,Y,0,individual5,2,,,0.9375
3,2021,07,07,14,N,Y,0,individual5,3,-175.55271549292007,0.01730250192750839,0.9375
4,2021,07,07,14,N,Y,0,individual5,4,172.89297380877886,0.015437547159594708,1.503482972136223
5,2021,07,07,14,N,Y,0,individual5,5,-171.58615367622153,0.014342202649295246,1.7647058823529413
6,2021,07,07,14,N,Y,0,individual5,6,168.06922315384844,0.019694248443023976,3.1682146542827665
0,2021,07,07,14,N,Y,0,individual6,0,-33.881167148995196,0.014396796891545818,2.5
1,2021,07,07,14,N,Y,0,individual6,1,-51.359390209270344,0.01749787124736591,3.258513931888545
2,2021,07,07,14,N,Y,0,individual6,2,-8.90410087872837,0.030709137133879544,2.241486068111455
3,2021,07,07,14,N,Y,0,individual6,3,-14.252135225058463,0.029989188896295326,2.6015037593984958
4,2021,07,07,14,N,Y,0,individual6,4,,,3.6921250494657696
5,2021,07,07,14,N,Y,0,individual6,5,,,2.7104197741316853
6,2021,07,07,14,N,Y,0,individual6,6,35.29643067010971,0.02626169646550003,2.2816657027183345
7,2021,07,07,14,N,Y,0,individual6,7,9.855990718523618,0.02513165378097973,2.1428571428571432
8,2021,07,07,14,N,Y,0,individual6,8,-9.080356437913885,0.026401148032508995,1.7862223125381018
9,2021,07,07,14,N,Y,0,individual6,9,-45.99159283666299,0.023927164285347403,1.6216216216216217
10,2021,07,07,14,N,Y,0,individual6,10,-35.08927461847511,0.022605142405316563,2.882882882882883
11,2021,07,07,14,N,Y,0,individual6,11,-17.62645501654766,0.034311019743393734,2.229767968307867
0,2021,07,07,14,N,Y,0,individual7,0,,,4.06015037593985
1,2021,07,07,14,N,Y,0,individual7,1,,,2.7819548872180455
2,2021,07,07,14,N,Y,0,individual7,2,28.494206369554547,0.02941428939136864,1.1111111111111112
3,2021,07,07,14,N,Y,0,individual7,3,129.41787961406672,0.040564441534160695,1.1111111111111112
4,2021,07,07,14,N,Y,0,individual7,4,125.90815472496111,0.026919215922973076,3.567251461988304
5,2021,07,07,14,N,Y,0,individual7,5,126.57094407443468,0.020537147822561417,2.727272727272727
6,2021,07,07,14,N,Y,0,individual7,6,156.617443374501,0.030033413920444597,4.904306220095694
7,2021,07,07,14,N,Y,0,individual7,7,169.45978316984596,0.028488642281967944,3.836565096952909
8,2021,07,07,14,N,Y,0,individual7,8,-170.5606106853867,0.02790685186239252,4.078414660132111
9,2021,07,07,14,N,Y,0,individual7,9,-175.0651308611023,0.02208738779281446,5.08502024291498
10,2021,07,07,14,N,Y,0,individual7,10,-147.22088600533925,0.0395591344484993,6.43609022556391
0,2021,07,07,14,N,Y,0,individual8,0,151.735755021569,0.02802733084765401,0.8955223880597017
1,2021,07,07,14,N,Y,0,individual8,1,171.01778379570257,0.03066481293465227,0.8955223880597017
2,2021,07,07,14,N,Y,0,individual8,2,-152.29538221728234,0.03247593035097548,0.8955223880597017
3,2021,07,07,14,N,Y,0,individual8,3,-133.3442942051309,0.034536311340853165,1.7070255131664336
4,2021,07,07,14,N,Y,0,individual8,4,-95.21764713654449,0.030015209895782557,2.3073059105877096
5,2021,07,07,14,N,Y,0,individual8,5,-58.96053065813211,0.0289780396490142,1.4634146341463417
6,2021,07,07,14,N,Y,0,individual8,6,-53.90863433058023,0.022048524732390586,1.5964523281596452
7,2021,07,07,14,N,Y,0,individual8,7,,,2.727272727272727
8,2021,07,07,14,N,Y,0,individual8,8,-26.691940982089665,0.01860341387785843,2.727272727272727
9,2021,07,07,14,N,Y,0,individual8,9,-44.566051981426114,0.018033929819797134,2.942583732057416
10,2021,07,07,14,N,Y,0,individual8,10,-12.200277624308228,0.024457968400263114,3.5526315789473686
11,2021,07,07,14,N,Y,0,individual8,11,-13.901096273182304,0.02144465475583516,1.8074792243767315
12,2021,07,07,14,N,Y,0,individual8,12,22.355998077178292,0.030724744909262622,1.5789473684210524
0,2021,07,07,18,N,Y,2,individual1,0,153.698774663046,0.009667354999032715,5.052631578947368
1,2021,07,07,18,N,Y,2,individual1,1,170.87839155804411,0.013281608491830705,5.1228070175438605
2,2021,07,07,18,N,Y,2,individual1,2,170.54967305712233,0.01992358103736171,6.188197767145136
3,2021,07,07,18,N,Y,2,individual1,3,-177.69821643137283,0.018995001724017368,5.215311004784688
4,2021,07,07,18,N,Y,2,individual1,4,-154.8838054611822,0.01176798290854021,4.078947368421052
5,2021,07,07,18,N,Y,2,individual1,5,-166.80048082275707,0.0079008096339174,3.75
6,2021,07,07,18,N,Y,2,individual1,6,-167.32560953330267,0.00401266958324861,3.6571207430340555
7,2021,07,07,18,N,Y,2,individual1,7,159.1791003954925,0.004290249766555,3.6455108359133126
8,2021,07,07,18,N,Y,2,individual1,8,-19.1554472629801,0.006806304173945438,3.139097744360902
9,2021,07,07,18,N,Y,2,individual1,9,27.55334239232652,0.015861249874971617,3.8750722961249275
10,2021,07,07,18,N,Y,2,individual1,10,,,1.2212301037102768
11,2021,07,07,18,N,Y,2,individual1,11,97.95032892733428,0.018633155477274666,0.821917808219178
12,2021,07,07,18,N,Y,2,individual1,12,-129.78471541569692,0.019865283861072423,0.821917808219178
13,2021,07,07,18,N,Y,2,individual1,13,-92.9598864077981,0.012704245456736839,1.065740315920561
