,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X,Y,Z,Yaw Heading,Pitch Heading,Speed,TB_Frequency,Fish_Length
0,2021,10,06,34,Y,N,2,individual1,0,0.5511873915252243,1.8695995043797584,0.788918987831605,-2.8519750216827306,1.9957310694521462,2.9495921936581824,7.578947368421052,1.5075418176440678
1,2021,10,06,34,Y,N,2,individual1,1,0.5794718971892024,1.791296503450707,0.8179606334459866,-2.8626079574917234,1.700186210725538,4.065970502406084,3.6992481203007515,1.416400270754612
2,2021,10,06,34,Y,N,2,individual1,2,0.7717539337143876,1.7020731447978794,2.2122611723586445,-1.934674599757438,0.40484990902494944,8.656358891688924,5.192392746572312,3.201643722738911
3,2021,10,06,34,Y,N,2,individual1,3,1.3931994334394187,1.6970051535233548,2.029395963289463,-0.24514518760066903,0.7543749074661239,6.678424632543576,1.1764705882352942,1.320640116703714
4,2021,10,06,34,Y,N,2,individual1,4,2.6164363235165107,1.809524618552814,1.5716364024583171,0.46207833303994106,1.894858660723572,8.859524334872923,1.1764705882352942,1.0452287748880342
5,2021,10,06,34,Y,N,2,individual1,5,3.081332468042127,2.004490834187927,1.3393372809545554,0.824348594671237,2.0311343051267436,3.1394312062409866,3.106295149638803,1.5794479596865003
6,2021,10,06,34,Y,N,2,individual1,6,3.2647148688759953,2.2200647046893125,1.1253473650872856,1.815655458501563,2.1515811116090044,3.8107419994136924,1.1904761904761907,2.3877542192238472
7,2021,10,06,34,Y,N,2,individual1,7,3.3337786297631986,2.3302549991172703,0.8723382578841035,2.5410478885162338,2.1629442329618764,2.7865916990366695,1.0714285714285716,3.522167569894727
8,2021,10,06,34,Y,N,2,individual1,8,3.209948317728643,2.5129880480464215,0.8597542669610112,2.7427938512432264,1.6749434482380405,3.2995809378658447,1.0714285714285716,4.021131704754829
9,2021,10,06,34,Y,N,2,individual1,9,2.9803316472887644,2.665893968620687,0.7774867808169548,2.932733141597744,1.8859782422681532,3.3459545297718534,3.6672325976230904,3.880482759775052
10,2021,10,06,34,Y,N,2,individual1,10,2.77551806361787,2.768239306695181,0.8808254420772396,2.9618988511983195,1.419486407580613,3.4855430421806095,0.9677419354838711,3.680589890122092
11,2021,10,06,34,Y,N,2,individual1,11,,,,,,,0.9677419354838711,
12,2021,10,06,34,Y,N,2,individual1,12,2.040316701081577,2.8194555942244945,0.7947531346685773,-3.082877599991293,1.886920274891751,3.2960004924277,2.9687121028377392,3.4121236674031046
13,2021,10,06,34,Y,N,2,individual1,13,1.8705937964843151,2.7739329332114884,0.7752054600939661,-2.976945036155524,2.0403399009258365,3.6502827931778885,7.0206766917293235,2.958833817851256
14,2021,10,06,34,Y,N,2,individual1,14,1.595091422082819,2.6793626366147354,0.7765811938519636,-2.9056425002474704,2.1281109858444474,3.7133335746783946,5.881578947368421,2.59157396040011
0,2021,10,06,34,Y,N,2,individual2,0,0.9592233253841395,2.792347400976466,4.430437735070223,-0.2259209580815781,2.9607435321968345,22.669962823063134,1.7647058823529413,10.580744635826505
1,2021,10,06,34,Y,N,2,individual2,1,2.356171886551653,2.3810775991409012,0.4111084694256029,-0.4145701074860103,2.9287830224462796,6.0926449470309,1.7647058823529413,13.33867695411254
2,2021,10,06,34,Y,N,2,individual2,2,2.875427731561907,2.2260186373546444,-1.0549245154991094,-0.4918926299217678,2.9663008377826197,5.783642155050078,1.7647058823529413,7.970082193373713
3,2021,10,06,34,Y,N,2,individual2,3,,,,,,,1.7647058823529413,
4,2021,10,06,34,Y,N,2,individual2,4,,,,,,,1.7647058823529413,6.940368866360653
5,2021,10,06,34,Y,N,2,individual2,5,,,,,,,1.7647058823529413,7.398498588479964
6,2021,10,06,34,Y,N,2,individual2,6,,,,,,,1.7647058823529413,8.098295329109982
7,2021,10,06,34,Y,N,2,individual2,7,,,,,,,1.7647058823529413,8.53563290098499
8,2021,10,06,34,Y,N,2,individual2,8,,,,,,,1.7647058823529413,8.995900060090749
9,2021,10,06,34,Y,N,2,individual2,9,,,,,,,1.7647058823529413,9.203866898018953
10,2021,10,06,34,Y,N,2,individual2,10,,,,,,,1.7647058823529413,
11,2021,10,06,34,Y,N,2,individual2,11,,,,,,,1.7647058823529413,
12,2021,10,06,34,Y,N,2,individual2,12,,,,,,,1.7647058823529413,8.674015775253025
13,2021,10,06,34,Y,N,2,individual2,13,,,,,,,1.7647058823529413,8.708365421902515
14,2021,10,06,34,Y,N,2,individual2,14,,,,,,,1.7647058823529413,8.66752789570329
0,2021,10,06,34,Y,N,2,individual3,0,,,,,,,4.615384615384615,6.4524400766151535
1,2021,10,06,34,Y,N,2,individual3,1,,,,,,,4.615384615384615,7.357671507010941
2,2021,10,06,34,Y,N,2,individual3,2,,,,,,,4.615384615384615,7.765390208229434
3,2021,10,06,34,Y,N,2,individual3,3,,,,,,,4.615384615384615,7.816652406245637
4,2021,10,06,34,Y,N,2,individual3,4,,,,,,,4.615384615384615,7.545525729164254
5,2021,10,06,34,Y,N,2,individual3,5,,,,,,,4.615384615384615,6.554826575932159
6,2021,10,06,34,Y,N,2,individual3,6,2.9307284408990384,1.9120762512761764,-1.8249929235805795,-3.1302097730080907,1.427192008764003,3.032733100900958,4.615384615384615,6.189580940794652
7,2021,10,06,34,Y,N,2,individual3,7,2.7742862034883884,1.9259263842889807,-1.4582614916819692,-3.1216022237581527,1.5027581131413292,2.915751622779741,2.749797570850202,5.578612690770807
8,2021,10,06,34,Y,N,2,individual3,8,2.623133119476207,1.957560215095404,-1.0832229523987937,3.11090362239201,1.533315089445866,2.850661378298439,3.2421052631578946,5.18054498478352
9,2021,10,06,34,Y,N,2,individual3,9,2.4526338629498174,2.01300396650979,-0.6248805732433963,3.094343041439787,1.6003365721067397,3.0227248477160287,3.8157894736842106,4.597705499458767
10,2021,10,06,34,Y,N,2,individual3,10,2.3118371903366124,2.058487763081452,-0.24645960203959003,3.1262655026571706,1.589521154868868,2.5359597092937802,7.439271255060729,4.148561624511176
11,2021,10,06,34,Y,N,2,individual3,11,2.259581254314906,2.076279218054606,-0.1164313121592395,3.128009045842562,1.6090385359657526,2.1471246140335536,4.205465587044535,3.9967687590555165
12,2021,10,06,34,Y,N,2,individual3,12,2.2632299034436194,2.0795258110350927,-0.09544047247930727,-3.1315863844416154,1.6141227302566488,2.1094808931871767,3.3760387811634347,4.048840850056529
13,2021,10,06,34,Y,N,2,individual3,13,2.204964072252677,2.085651022188836,0.1628118424027679,-3.066399071179692,1.688318229990108,3.0878536671919727,3.2686980609418286,3.847203408516712
14,2021,10,06,34,Y,N,2,individual3,14,2.06533365588106,2.0889172932573015,0.8073342276906564,-3.035317695301711,1.4417532698571778,3.269161926485332,3.333333333333334,3.3321537748233174
0,2021,10,06,34,Y,N,2,individual5,0,2.0148825039684706,2.743375052714492,3.8813185487384105,3.063308130827501,1.138800710982896,3.7225286192745473,2.608695652173913,1.6791891451455112
1,2021,10,06,34,Y,N,2,individual5,1,1.8977099283261492,2.846939301355151,4.556572589909557,3.0645199793171463,1.2203434061238607,3.4129228040367536,2.608695652173913,2.000218258361465
2,2021,10,06,34,Y,N,2,individual5,2,1.8136234079593665,2.963495976733858,5.36638225637444,3.0424526257361744,1.0204538917699706,3.4663034218778175,2.7243165121040582,2.7494251042571696
3,2021,10,06,34,Y,N,2,individual5,3,1.826971645255424,3.0332765895544735,5.967866565733305,3.05031539519223,0.9328701537258467,3.1146329110391258,3.1246537396121883,3.264767464874392
4,2021,10,06,34,Y,N,2,individual5,4,1.8784549008078488,3.1225060170218426,6.7378894927283515,3.0339198163273857,0.8792946279256342,4.333160594771955,2.590762620837809,3.915532919846781
5,2021,10,06,34,Y,N,2,individual5,5,1.98544861669738,3.152337273607011,6.941352417072742,3.0698716200093226,1.125074269654399,2.678741292684698,0.4081632653061224,4.357987358073449
6,2021,10,06,34,Y,N,2,individual5,6,,,,,,,0.4081632653061224,5.287493840326569
7,2021,10,06,34,Y,N,2,individual5,7,,,,,,,0.4081632653061224,6.542739386222842
8,2021,10,06,34,Y,N,2,individual5,8,,,,,,,0.4081632653061224,7.788453377805913
9,2021,10,06,34,Y,N,2,individual5,9,,,,,,,0.4081632653061224,8.105621674774847
