fish1,fish2,dist,angle,year,month,day,trial,frame,turb,dark,flow
0,1,5.393331622661171,-85.76318493903892,2020,07,28,29,0,N,N,2
0,2,4.635226596528434,95.35662483908536,2020,07,28,29,0,N,N,2
0,3,7.446408305791735,174.37406848001658,2020,07,28,29,0,N,N,2
0,4,2.993651551028066,64.83518900205254,2020,07,28,29,0,N,N,2
0,5,6.717170716029838,5.489520887220733,2020,07,28,29,0,N,N,2
0,6,2.60979692587686,-128.97351096160548,2020,07,28,29,0,N,N,2
0,7,9.594628131334813,76.39265230050782,2020,07,28,29,0,N,N,2
1,2,10.028082117931032,94.75439281424384,2020,07,28,29,0,N,N,2
1,3,9.914395811373675,141.96568945048486,2020,07,28,29,0,N,N,2
1,4,8.135252682485332,83.82893879513281,2020,07,28,29,0,N,N,2
1,5,8.705885687090582,43.75864279119877,2020,07,28,29,0,N,N,2
1,6,3.921905543255325,121.34120791119439,2020,07,28,29,0,N,N,2
1,7,14.820937918152593,82.79498497261275,2020,07,28,29,0,N,N,2
2,3,7.986432680724401,-150.89258315528141,2020,07,28,29,0,N,N,2
2,4,2.557377108538865,-48.166455706374954,2020,07,28,29,0,N,N,2
2,5,8.152378285848927,-29.161186862180138,2020,07,28,29,0,N,N,2
2,6,6.7529953232749955,-100.31112697974204,2020,07,28,29,0,N,N,2
2,7,5.424334629594189,60.26979940144691,2020,07,28,29,0,N,N,2
3,4,8.906282831469385,12.84189210896464,2020,07,28,29,0,N,N,2
3,5,14.097174756562985,-0.35525340507500003,2020,07,28,29,0,N,N,2
3,6,6.394847375613558,-25.55853814284577,2020,07,28,29,0,N,N,2
3,7,12.93625053235117,41.63912039057106,2020,07,28,29,0,N,N,2
4,5,5.7945682383495445,-20.897747293226736,2020,07,28,29,0,N,N,2
4,6,5.563004871625999,-121.59389849733044,2020,07,28,29,0,N,N,2
4,7,6.68862099673887,81.53737230550509,2020,07,28,29,0,N,N,2
5,6,8.745844382775772,-162.21391154602054,2020,07,28,29,0,N,N,2
5,7,9.747120388456098,117.02617271834477,2020,07,28,29,0,N,N,2
6,7,12.004986234523486,71.04887242850484,2020,07,28,29,0,N,N,2
0,1,5.407138046808673,-85.81613004137711,2020,07,28,29,1,N,N,2
0,2,4.690372804893329,95.88775808212613,2020,07,28,29,1,N,N,2
0,3,7.461303817445816,174.01294598971552,2020,07,28,29,1,N,N,2
0,4,2.862871576272217,64.82786275145182,2020,07,28,29,1,N,N,2
0,5,6.686364222088999,2.9697128338963044,2020,07,28,29,1,N,N,2
0,6,2.5769090754206188,-129.851737394229,2020,07,28,29,1,N,N,2
0,7,9.596202186467847,77.00674620128527,2020,07,28,29,1,N,N,2
1,2,10.096400247632557,94.97533489033098,2020,07,28,29,1,N,N,2
1,3,9.957741424012514,141.704612034082,2020,07,28,29,1,N,N,2
1,4,8.02605228947529,84.11304412663827,2020,07,28,29,1,N,N,2
1,5,8.509549774517664,42.41026909541201,2020,07,28,29,1,N,N,2
1,6,3.9803897076692154,120.9283234053897,2020,07,28,29,1,N,N,2
1,7,14.848280401621286,83.18061330002205,2020,07,28,29,1,N,N,2
2,3,7.954118164709215,-150.7430903423009,2020,07,28,29,1,N,N,2
2,4,2.6814416029735866,-50.687401472772045,2020,07,28,29,1,N,N,2
2,5,8.360630227125899,-31.105428144957983,2020,07,28,29,1,N,N,2
2,6,6.7461952043959315,-99.98869047830628,2020,07,28,29,1,N,N,2
2,7,5.3768832914685225,60.610015269046485,2020,07,28,29,1,N,N,2
3,4,8.826452492293376,11.851594540991195,2020,07,28,29,1,N,N,2
3,5,14.104603078482445,-1.7544736488751294,2020,07,28,29,1,N,N,2
3,6,6.394024482928144,-25.53822830756572,2020,07,28,29,1,N,N,2
3,7,12.853997998680718,41.827853220393315,2020,07,28,29,1,N,N,2
4,5,5.903086326297424,-22.348539049204177,2020,07,28,29,1,N,N,2
4,6,5.395330442532919,-122.1239745070147,2020,07,28,29,1,N,N,2
4,7,6.824540851563414,82.0840025084746,2020,07,28,29,1,N,N,2
5,6,8.647031050197784,-164.40443011828663,2020,07,28,29,1,N,N,2
5,7,10.074843683970263,116.65539288857642,2020,07,28,29,1,N,N,2
6,7,11.95196475676473,71.4168121314931,2020,07,28,29,1,N,N,2
0,1,5.43580262458158,-86.02138935973865,2020,07,28,29,2,N,N,2
0,2,4.755705972971937,96.28549805021376,2020,07,28,29,2,N,N,2
0,3,7.475341632878473,173.6409841057655,2020,07,28,29,2,N,N,2
0,4,2.755057335807083,64.69975267704608,2020,07,28,29,2,N,N,2
0,5,6.6706065286034715,0.97300594408196,2020,07,28,29,2,N,N,2
0,6,2.536327269911652,-130.90942892220414,2020,07,28,29,2,N,N,2
0,7,9.597522505547406,77.54583816991428,2020,07,28,29,2,N,N,2
1,2,10.189452693353811,95.05507273729567,2020,07,28,29,2,N,N,2
